
=== TestCase1 case1\success\basic Success execution 1 ===
{traceId=d62a190b855781b7, spanId=d62a190b855781b7, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516861064992000, }
{traceId=d62a190b855781b7, spanId=e98f09066c888d6a, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d62a190b855781b7, timestamp=1516861065271000, }
{traceId=d62a190b855781b7, spanId=e98f09066c888d6a, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=d62a190b855781b7, timestamp=1516861065302500, }
{traceId=d62a190b855781b7, spanId=e98f09066c888d6a, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=d62a190b855781b7, timestamp=1516861065313500, }
{traceId=d62a190b855781b7, spanId=e98f09066c888d6a, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=d62a190b855781b7, timestamp=1516861065345000, }
{traceId=d62a190b855781b7, spanId=b37b62841a90acf0, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d62a190b855781b7, timestamp=1516861065434000, }
{traceId=d62a190b855781b7, spanId=b37b62841a90acf0, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.checkInOneHour, type=sr, parentId=d62a190b855781b7, timestamp=1516861065933000, }
{traceId=d62a190b855781b7, spanId=0f9994b4186a664f, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.checkInOneHour, type=cs, parentId=b37b62841a90acf0, timestamp=1516861066226000, }
{traceId=d62a190b855781b7, spanId=0f9994b4186a664f, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=b37b62841a90acf0, timestamp=1516861066578500, }
{traceId=d62a190b855781b7, spanId=0f9994b4186a664f, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=b37b62841a90acf0, timestamp=1516861067221500, }
{traceId=d62a190b855781b7, spanId=0f9994b4186a664f, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.checkInOneHour, type=cr, parentId=b37b62841a90acf0, timestamp=1516861067574000, }
