
=== TestCase10 case10\success\basic Success execution 1 ===
{traceId=8f5f0744716b0448, spanId=8f5f0744716b0448, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516873840984000, }
{traceId=8f5f0744716b0448, spanId=aaeca72a44dfa112, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=8f5f0744716b0448, timestamp=1516873840988000, }
{traceId=8f5f0744716b0448, spanId=aaeca72a44dfa112, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=8f5f0744716b0448, timestamp=1516873840990000, }
{traceId=8f5f0744716b0448, spanId=aaeca72a44dfa112, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=8f5f0744716b0448, timestamp=1516873840995000, }
{traceId=8f5f0744716b0448, spanId=aaeca72a44dfa112, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=8f5f0744716b0448, timestamp=1516873840997000, }
{traceId=8f5f0744716b0448, spanId=69d9ab773735084f, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=8f5f0744716b0448, timestamp=1516873840999000, }
{traceId=8f5f0744716b0448, spanId=69d9ab773735084f, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=8f5f0744716b0448, timestamp=1516873841005000, }
{traceId=8f5f0744716b0448, spanId=4eed46f4442c837a, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=69d9ab773735084f, timestamp=1516873841009000, }
{traceId=8f5f0744716b0448, spanId=4eed46f4442c837a, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=69d9ab773735084f, timestamp=1516873841012500, }
{traceId=8f5f0744716b0448, spanId=4eed46f4442c837a, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=69d9ab773735084f, timestamp=1516873841020500, }
{traceId=8f5f0744716b0448, spanId=4eed46f4442c837a, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=69d9ab773735084f, timestamp=1516873841024000, }
{traceId=8f5f0744716b0448, spanId=2e0ab99b0e4d9b71, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=69d9ab773735084f, timestamp=1516873841027000, }
{traceId=8f5f0744716b0448, spanId=2e0ab99b0e4d9b71, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=69d9ab773735084f, timestamp=1516873841029000, }
{traceId=8f5f0744716b0448, spanId=2e0ab99b0e4d9b71, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=69d9ab773735084f, timestamp=1516873841037000, }
{traceId=8f5f0744716b0448, spanId=2e0ab99b0e4d9b71, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=69d9ab773735084f, timestamp=1516873841039000, }
{traceId=8f5f0744716b0448, spanId=69d9ab773735084f, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=8f5f0744716b0448, timestamp=1516873841047000, }
{traceId=8f5f0744716b0448, spanId=69d9ab773735084f, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=8f5f0744716b0448, timestamp=1516873841053000, }
{traceId=8f5f0744716b0448, spanId=7ce9d74b5f3d4e3e, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=8f5f0744716b0448, timestamp=1516873841056000, }
