
=== TestCase8 case8\success\basic Success execution 1 ===
{traceId=63d302bb0dc843d6, spanId=63d302bb0dc843d6, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516870731057000, }
{traceId=63d302bb0dc843d6, spanId=09ff38d04b6ee28d, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=63d302bb0dc843d6, timestamp=1516870731060000, }
{traceId=63d302bb0dc843d6, spanId=09ff38d04b6ee28d, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=63d302bb0dc843d6, timestamp=1516870731062500, }
{traceId=63d302bb0dc843d6, spanId=09ff38d04b6ee28d, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=63d302bb0dc843d6, timestamp=1516870731066500, }
{traceId=63d302bb0dc843d6, spanId=09ff38d04b6ee28d, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=63d302bb0dc843d6, timestamp=1516870731069000, }
{traceId=63d302bb0dc843d6, spanId=ee6357de0d348a60, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=63d302bb0dc843d6, timestamp=1516870731071000, }
{traceId=63d302bb0dc843d6, spanId=ee6357de0d348a60, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=63d302bb0dc843d6, timestamp=1516870731073000, }
{traceId=63d302bb0dc843d6, spanId=6b4649aa5fb15fa2, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=ee6357de0d348a60, timestamp=1516870731077000, }
{traceId=63d302bb0dc843d6, spanId=6b4649aa5fb15fa2, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=ee6357de0d348a60, timestamp=1516870731079000, }
{traceId=63d302bb0dc843d6, spanId=6b4649aa5fb15fa2, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=ee6357de0d348a60, timestamp=1516870731086000, }
{traceId=63d302bb0dc843d6, spanId=6b4649aa5fb15fa2, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=ee6357de0d348a60, timestamp=1516870731088000, }
{traceId=63d302bb0dc843d6, spanId=89e9d0ca13cb6bf8, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=ee6357de0d348a60, timestamp=1516870731090000, }
{traceId=63d302bb0dc843d6, spanId=89e9d0ca13cb6bf8, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=ee6357de0d348a60, timestamp=1516870731092500, }
{traceId=63d302bb0dc843d6, spanId=89e9d0ca13cb6bf8, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=ee6357de0d348a60, timestamp=1516870731101500, }
{traceId=63d302bb0dc843d6, spanId=89e9d0ca13cb6bf8, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=ee6357de0d348a60, timestamp=1516870731104000, }
{traceId=63d302bb0dc843d6, spanId=ee6357de0d348a60, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=63d302bb0dc843d6, timestamp=1516870731111000, }
{traceId=63d302bb0dc843d6, spanId=ee6357de0d348a60, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=63d302bb0dc843d6, timestamp=1516870731113000, }
{traceId=63d302bb0dc843d6, spanId=212c928938a7c9f7, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=63d302bb0dc843d6, timestamp=1516870731116000, }
{traceId=63d302bb0dc843d6, spanId=212c928938a7c9f7, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.ContactsController.countContactsById, type=sr, parentId=63d302bb0dc843d6, timestamp=1516870731119000, }
