
=== TestCase2 case2\fail1\basic-1 Fail execution 1 ===
{traceId=582354643993a22b, spanId=582354643993a22b, hostName=ts-travel-service, srcName=null, src=null, host=ts-travel-service, clock={"ts-travel-service":1}, event=ts-travel-service.TravelController.query, type=sr, parentId=, timestamp=1516884891761000, }
{traceId=582354643993a22b, spanId=50ea3d9774ff7338, hostName=ts-travel-service, destName=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-travel-service":2}, dest=ts-ticketinfo-service, event=ts-travel-service.TravelController.query, type=cs, parentId=582354643993a22b, timestamp=1516884891764000, }
{traceId=582354643993a22b, spanId=50ea3d9774ff7338, hostName=ts-ticketinfo-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-ticketinfo-service":1,"ts-travel-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=582354643993a22b, timestamp=1516884891765500, }
{traceId=582354643993a22b, spanId=76e4f744dbbc3ade, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-ticketinfo-service":2,"ts-travel-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=50ea3d9774ff7338, timestamp=1516884891767500, }
{traceId=582354643993a22b, spanId=76e4f744dbbc3ade, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-ticketinfo-service":2,"ts-travel-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=50ea3d9774ff7338, timestamp=1516884891769500, }
{traceId=582354643993a22b, spanId=3e0f57b3d8f834ea, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-ticketinfo-service":2,"ts-travel-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=76e4f744dbbc3ade, timestamp=1516884891770500, }
{traceId=582354643993a22b, spanId=3e0f57b3d8f834ea, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=76e4f744dbbc3ade, timestamp=1516884891772000, }
{traceId=582354643993a22b, spanId=3e0f57b3d8f834ea, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=76e4f744dbbc3ade, timestamp=1516884891776000, }
{traceId=582354643993a22b, spanId=3e0f57b3d8f834ea, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=76e4f744dbbc3ade, timestamp=1516884891777500, }
{traceId=582354643993a22b, spanId=76e4f744dbbc3ade, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=50ea3d9774ff7338, timestamp=1516884891779500, }
{traceId=582354643993a22b, spanId=76e4f744dbbc3ade, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":3,"ts-travel-service":2,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=50ea3d9774ff7338, timestamp=1516884891781500, }
