
=== TestCase1 case1\fail1\basic-2 Fail execution 1 ===
{traceId=ea7d78300d6e2d3f, spanId=ea7d78300d6e2d3f, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517208294976000, }
{traceId=ea7d78300d6e2d3f, spanId=9966d9dec1fa5fbe, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=ea7d78300d6e2d3f, timestamp=1517208295211000, }
{traceId=ea7d78300d6e2d3f, spanId=9966d9dec1fa5fbe, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=ea7d78300d6e2d3f, timestamp=1517208295321500, }
{traceId=ea7d78300d6e2d3f, spanId=9966d9dec1fa5fbe, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=ea7d78300d6e2d3f, timestamp=1517208295334500, }
{traceId=ea7d78300d6e2d3f, spanId=9966d9dec1fa5fbe, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=ea7d78300d6e2d3f, timestamp=1517208295445000, }
{traceId=ea7d78300d6e2d3f, spanId=81cd2208e5cf33d3, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=ea7d78300d6e2d3f, timestamp=1517208295511000, }
{traceId=ea7d78300d6e2d3f, spanId=81cd2208e5cf33d3, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=ea7d78300d6e2d3f, timestamp=1517208295837000, }
{traceId=ea7d78300d6e2d3f, spanId=e1726d52dbf21784, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=81cd2208e5cf33d3, timestamp=1517208296235000, }
{traceId=ea7d78300d6e2d3f, spanId=e1726d52dbf21784, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=81cd2208e5cf33d3, timestamp=1517208296618000, }
{traceId=ea7d78300d6e2d3f, spanId=e1726d52dbf21784, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=81cd2208e5cf33d3, timestamp=1517208297004000, }
{traceId=ea7d78300d6e2d3f, spanId=e1726d52dbf21784, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=81cd2208e5cf33d3, timestamp=1517208297387000, }
