
=== TestCase1 case1\fail1\basic-1 Fail execution 1 ===
{traceId=e85b91a66f418c9e, spanId=e85b91a66f418c9e, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517208277152000, }
{traceId=e85b91a66f418c9e, spanId=3487cbc4ec9a89d9, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e85b91a66f418c9e, timestamp=1517208277487000, }
{traceId=e85b91a66f418c9e, spanId=3487cbc4ec9a89d9, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=e85b91a66f418c9e, timestamp=1517208277867000, }
{traceId=e85b91a66f418c9e, spanId=645a1df783ca8389, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=3487cbc4ec9a89d9, timestamp=1517208278170000, }
{traceId=e85b91a66f418c9e, spanId=645a1df783ca8389, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=3487cbc4ec9a89d9, timestamp=1517208278527500, }
{traceId=e85b91a66f418c9e, spanId=023711485bf9c94e, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=645a1df783ca8389, timestamp=1517208278851500, }
{traceId=e85b91a66f418c9e, spanId=023711485bf9c94e, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=645a1df783ca8389, timestamp=1517208279178000, }
{traceId=e85b91a66f418c9e, spanId=023711485bf9c94e, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=645a1df783ca8389, timestamp=1517208279402000, }
{traceId=e85b91a66f418c9e, spanId=023711485bf9c94e, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=645a1df783ca8389, timestamp=1517208279728500, }
{traceId=e85b91a66f418c9e, spanId=645a1df783ca8389, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=3487cbc4ec9a89d9, timestamp=1517208279803500, }
{traceId=e85b91a66f418c9e, spanId=645a1df783ca8389, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=3487cbc4ec9a89d9, timestamp=1517208280161000, }
{traceId=e85b91a66f418c9e, spanId=3487cbc4ec9a89d9, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=e85b91a66f418c9e, timestamp=1517208280210000, }
{traceId=e85b91a66f418c9e, spanId=3487cbc4ec9a89d9, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=e85b91a66f418c9e, timestamp=1517208280590000, }
{traceId=e85b91a66f418c9e, spanId=60762efc04b52539, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e85b91a66f418c9e, timestamp=1517208280635000, }
{traceId=e85b91a66f418c9e, spanId=60762efc04b52539, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=e85b91a66f418c9e, timestamp=1517208280639000, }
{traceId=e85b91a66f418c9e, spanId=ba2c94e736775856, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=60762efc04b52539, timestamp=1517208280648000, }
{traceId=e85b91a66f418c9e, spanId=ba2c94e736775856, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=60762efc04b52539, timestamp=1517208280652500, }
{traceId=e85b91a66f418c9e, spanId=f0db58f769aca1f8, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=ba2c94e736775856, timestamp=1517208280659500, }
{traceId=e85b91a66f418c9e, spanId=f0db58f769aca1f8, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=ba2c94e736775856, timestamp=1517208280664500, }
