
=== TestCase3 case3\success\basic-2 Success execution 1 ===
{traceId=5b5c92b3cdb328d4, spanId=5b5c92b3cdb328d4, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517220387246000, }
{traceId=5b5c92b3cdb328d4, spanId=908914cce548c612, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=5b5c92b3cdb328d4, timestamp=1517220387253000, }
{traceId=5b5c92b3cdb328d4, spanId=908914cce548c612, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=5b5c92b3cdb328d4, timestamp=1517220387256000, }
{traceId=5b5c92b3cdb328d4, spanId=908914cce548c612, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=5b5c92b3cdb328d4, timestamp=1517220387264000, }
{traceId=5b5c92b3cdb328d4, spanId=908914cce548c612, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=5b5c92b3cdb328d4, timestamp=1517220387267000, }
{traceId=5b5c92b3cdb328d4, spanId=c2e6c08a3ef4b180, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=5b5c92b3cdb328d4, timestamp=1517220387269000, }
{traceId=5b5c92b3cdb328d4, spanId=c2e6c08a3ef4b180, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=5b5c92b3cdb328d4, timestamp=1517220387271500, }
{traceId=5b5c92b3cdb328d4, spanId=fedf8ddd6abf7bfc, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=c2e6c08a3ef4b180, timestamp=1517220387277500, }
{traceId=5b5c92b3cdb328d4, spanId=fedf8ddd6abf7bfc, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=c2e6c08a3ef4b180, timestamp=1517220387280500, }
{traceId=5b5c92b3cdb328d4, spanId=fedf8ddd6abf7bfc, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=c2e6c08a3ef4b180, timestamp=1517220387291500, }
{traceId=5b5c92b3cdb328d4, spanId=fedf8ddd6abf7bfc, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=c2e6c08a3ef4b180, timestamp=1517220387294500, }
