
=== TestCase4 case4\success\basic-2 Success execution 1 ===
{traceId=7cf9460274799e8e, spanId=7cf9460274799e8e, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517220647592000, }
{traceId=7cf9460274799e8e, spanId=cc550597f8f21901, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=7cf9460274799e8e, timestamp=1517220647598000, }
{traceId=7cf9460274799e8e, spanId=cc550597f8f21901, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=7cf9460274799e8e, timestamp=1517220647600000, }
{traceId=7cf9460274799e8e, spanId=cc550597f8f21901, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=7cf9460274799e8e, timestamp=1517220647608000, }
{traceId=7cf9460274799e8e, spanId=cc550597f8f21901, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=7cf9460274799e8e, timestamp=1517220647610000, }
{traceId=7cf9460274799e8e, spanId=5041c19cef1041d6, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=7cf9460274799e8e, timestamp=1517220647612000, }
{traceId=7cf9460274799e8e, spanId=5041c19cef1041d6, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=7cf9460274799e8e, timestamp=1517220647614000, }
{traceId=7cf9460274799e8e, spanId=1361bb80161b6363, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=5041c19cef1041d6, timestamp=1517220647619000, }
{traceId=7cf9460274799e8e, spanId=1361bb80161b6363, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=5041c19cef1041d6, timestamp=1517220647622000, }
{traceId=7cf9460274799e8e, spanId=1361bb80161b6363, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=5041c19cef1041d6, timestamp=1517220647628000, }
{traceId=7cf9460274799e8e, spanId=1361bb80161b6363, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=5041c19cef1041d6, timestamp=1517220647631000, }
