
=== TestCase6 case6\fail1\basic-2 Fail execution 1 ===
{traceId=c3f990806c761618, spanId=c3f990806c761618, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517212820217000, }
{traceId=c3f990806c761618, spanId=e83f052014eb155f, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=c3f990806c761618, timestamp=1517212820222000, }
{traceId=c3f990806c761618, spanId=e83f052014eb155f, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=c3f990806c761618, timestamp=1517212820237500, }
{traceId=c3f990806c761618, spanId=e83f052014eb155f, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=c3f990806c761618, timestamp=1517212820243500, }
{traceId=c3f990806c761618, spanId=e83f052014eb155f, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=c3f990806c761618, timestamp=1517212820259000, }
{traceId=c3f990806c761618, spanId=ea3deb26fad6a5b5, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=c3f990806c761618, timestamp=1517212820261000, }
{traceId=c3f990806c761618, spanId=ea3deb26fad6a5b5, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=c3f990806c761618, timestamp=1517212820272000, }
{traceId=c3f990806c761618, spanId=00e736a1bdf9e15c, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=ea3deb26fad6a5b5, timestamp=1517212820277000, }
{traceId=c3f990806c761618, spanId=00e736a1bdf9e15c, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=ea3deb26fad6a5b5, timestamp=1517212820288500, }
{traceId=c3f990806c761618, spanId=00e736a1bdf9e15c, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=ea3deb26fad6a5b5, timestamp=1517212820295500, }
{traceId=c3f990806c761618, spanId=00e736a1bdf9e15c, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=ea3deb26fad6a5b5, timestamp=1517212820307000, }
{traceId=c3f990806c761618, spanId=da36e9a5d480709a, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=ea3deb26fad6a5b5, timestamp=1517212820309000, }
{traceId=c3f990806c761618, spanId=da36e9a5d480709a, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=ea3deb26fad6a5b5, timestamp=1517212820317500, }
{traceId=c3f990806c761618, spanId=da36e9a5d480709a, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=ea3deb26fad6a5b5, timestamp=1517212820324500, }
{traceId=c3f990806c761618, spanId=da36e9a5d480709a, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=ea3deb26fad6a5b5, timestamp=1517212820333000, }
{traceId=c3f990806c761618, spanId=ea3deb26fad6a5b5, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=c3f990806c761618, timestamp=1517212820342000, }
{traceId=c3f990806c761618, spanId=ea3deb26fad6a5b5, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=c3f990806c761618, timestamp=1517212820353000, }
{traceId=c3f990806c761618, spanId=dd1851efd8e0a5a7, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=c3f990806c761618, timestamp=1517212820355000, }
