
=== TestCase7 case7\fail1\basic-2 Fail execution 1 ===
{traceId=201ace7b844d24b9, spanId=201ace7b844d24b9, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517213665108000, }
{traceId=201ace7b844d24b9, spanId=58ac4ebe5825a15a, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=201ace7b844d24b9, timestamp=1517213665114000, }
{traceId=201ace7b844d24b9, spanId=58ac4ebe5825a15a, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=201ace7b844d24b9, timestamp=1517213665122000, }
{traceId=201ace7b844d24b9, spanId=58ac4ebe5825a15a, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=201ace7b844d24b9, timestamp=1517213665128000, }
{traceId=201ace7b844d24b9, spanId=58ac4ebe5825a15a, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=201ace7b844d24b9, timestamp=1517213665136000, }
{traceId=201ace7b844d24b9, spanId=d35068d9e42bf32a, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=201ace7b844d24b9, timestamp=1517213665138000, }
{traceId=201ace7b844d24b9, spanId=d35068d9e42bf32a, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=201ace7b844d24b9, timestamp=1517213665146500, }
{traceId=201ace7b844d24b9, spanId=7f79ece4b6f30caf, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=d35068d9e42bf32a, timestamp=1517213665150500, }
{traceId=201ace7b844d24b9, spanId=7f79ece4b6f30caf, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=d35068d9e42bf32a, timestamp=1517213665163000, }
{traceId=201ace7b844d24b9, spanId=7f79ece4b6f30caf, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=d35068d9e42bf32a, timestamp=1517213665170000, }
{traceId=201ace7b844d24b9, spanId=7f79ece4b6f30caf, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=d35068d9e42bf32a, timestamp=1517213665182500, }
