
=== TestCase8 case8\fail1\basic-2 Fail execution 1 ===
{traceId=87a5b81a4ef5f222, spanId=87a5b81a4ef5f222, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517214146664000, }
{traceId=87a5b81a4ef5f222, spanId=8188d3ebe938bed4, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=87a5b81a4ef5f222, timestamp=1517214146672000, }
{traceId=87a5b81a4ef5f222, spanId=8188d3ebe938bed4, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=87a5b81a4ef5f222, timestamp=1517214146681000, }
{traceId=87a5b81a4ef5f222, spanId=8188d3ebe938bed4, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=87a5b81a4ef5f222, timestamp=1517214146685000, }
{traceId=87a5b81a4ef5f222, spanId=8188d3ebe938bed4, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=87a5b81a4ef5f222, timestamp=1517214146694000, }
{traceId=87a5b81a4ef5f222, spanId=57256d9e625d6144, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=87a5b81a4ef5f222, timestamp=1517214146697000, }
{traceId=87a5b81a4ef5f222, spanId=57256d9e625d6144, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=87a5b81a4ef5f222, timestamp=1517214146706000, }
{traceId=87a5b81a4ef5f222, spanId=148c7616075a9d6d, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=57256d9e625d6144, timestamp=1517214146712000, }
{traceId=87a5b81a4ef5f222, spanId=148c7616075a9d6d, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=57256d9e625d6144, timestamp=1517214146723500, }
{traceId=87a5b81a4ef5f222, spanId=148c7616075a9d6d, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=57256d9e625d6144, timestamp=1517214146731500, }
{traceId=87a5b81a4ef5f222, spanId=148c7616075a9d6d, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=57256d9e625d6144, timestamp=1517214146743000, }
