
=== TestCase9 case9\fail1\basic-1 Fail execution 1 ===
{traceId=f89a7bbac8a05c9f, spanId=f89a7bbac8a05c9f, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517214497291000, }
{traceId=f89a7bbac8a05c9f, spanId=05326e5e347b3070, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=f89a7bbac8a05c9f, timestamp=1517214497294000, }
{traceId=f89a7bbac8a05c9f, spanId=05326e5e347b3070, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=f89a7bbac8a05c9f, timestamp=1517214497301000, }
{traceId=f89a7bbac8a05c9f, spanId=1edb66bf1a41f3ee, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=05326e5e347b3070, timestamp=1517214497303000, }
{traceId=f89a7bbac8a05c9f, spanId=1edb66bf1a41f3ee, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=05326e5e347b3070, timestamp=1517214497311500, }
{traceId=f89a7bbac8a05c9f, spanId=17abbbf7a0d3912c, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=1edb66bf1a41f3ee, timestamp=1517214497312500, }
{traceId=f89a7bbac8a05c9f, spanId=17abbbf7a0d3912c, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=1edb66bf1a41f3ee, timestamp=1517214497320000, }
{traceId=f89a7bbac8a05c9f, spanId=17abbbf7a0d3912c, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=1edb66bf1a41f3ee, timestamp=1517214497323000, }
{traceId=f89a7bbac8a05c9f, spanId=17abbbf7a0d3912c, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=1edb66bf1a41f3ee, timestamp=1517214497330500, }
{traceId=f89a7bbac8a05c9f, spanId=1edb66bf1a41f3ee, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=05326e5e347b3070, timestamp=1517214497332500, }
{traceId=f89a7bbac8a05c9f, spanId=1edb66bf1a41f3ee, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=05326e5e347b3070, timestamp=1517214497341000, }
{traceId=f89a7bbac8a05c9f, spanId=05326e5e347b3070, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=f89a7bbac8a05c9f, timestamp=1517214497343000, }
{traceId=f89a7bbac8a05c9f, spanId=05326e5e347b3070, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=f89a7bbac8a05c9f, timestamp=1517214497350000, }
{traceId=f89a7bbac8a05c9f, spanId=ab87ce6d411a1ee8, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=f89a7bbac8a05c9f, timestamp=1517214497351000, }
{traceId=f89a7bbac8a05c9f, spanId=ab87ce6d411a1ee8, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=f89a7bbac8a05c9f, timestamp=1517214497352500, }
{traceId=f89a7bbac8a05c9f, spanId=9c4e4b24febfff4a, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=ab87ce6d411a1ee8, timestamp=1517214497353500, }
{traceId=f89a7bbac8a05c9f, spanId=9c4e4b24febfff4a, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=ab87ce6d411a1ee8, timestamp=1517214497355500, }
{traceId=f89a7bbac8a05c9f, spanId=145807af5a51e485, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=9c4e4b24febfff4a, timestamp=1517214497357500, }
