
=== TestCase9 case9\success\basic-2 Success execution 1 ===
{traceId=42f9bdd7318e5402, spanId=42f9bdd7318e5402, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517221589308000, }
{traceId=42f9bdd7318e5402, spanId=29132ffa4cc4b029, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=42f9bdd7318e5402, timestamp=1517221589313000, }
{traceId=42f9bdd7318e5402, spanId=29132ffa4cc4b029, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=42f9bdd7318e5402, timestamp=1517221589315500, }
{traceId=42f9bdd7318e5402, spanId=29132ffa4cc4b029, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=42f9bdd7318e5402, timestamp=1517221589320500, }
{traceId=42f9bdd7318e5402, spanId=29132ffa4cc4b029, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=42f9bdd7318e5402, timestamp=1517221589323000, }
{traceId=42f9bdd7318e5402, spanId=3efff03bbb3c2407, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=42f9bdd7318e5402, timestamp=1517221589324000, }
{traceId=42f9bdd7318e5402, spanId=3efff03bbb3c2407, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=42f9bdd7318e5402, timestamp=1517221589327000, }
{traceId=42f9bdd7318e5402, spanId=4530ea402253d0cf, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=3efff03bbb3c2407, timestamp=1517221589331000, }
{traceId=42f9bdd7318e5402, spanId=4530ea402253d0cf, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=3efff03bbb3c2407, timestamp=1517221589333000, }
{traceId=42f9bdd7318e5402, spanId=4530ea402253d0cf, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=3efff03bbb3c2407, timestamp=1517221589338000, }
{traceId=42f9bdd7318e5402, spanId=4530ea402253d0cf, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=3efff03bbb3c2407, timestamp=1517221589340000, }
{traceId=42f9bdd7318e5402, spanId=a3bcb229719efeac, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=3efff03bbb3c2407, timestamp=1517221589343000, }
{traceId=42f9bdd7318e5402, spanId=a3bcb229719efeac, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=3efff03bbb3c2407, timestamp=1517221589345000, }
