
=== TestCase3 case3\fail2\basic-2 Fail execution 2 ===
{traceId=95b2ff5235b92a4e, spanId=95b2ff5235b92a4e, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516793981592000, }
{traceId=95b2ff5235b92a4e, spanId=2bddd0dca54f331e, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=95b2ff5235b92a4e, timestamp=1516793981597000, }
{traceId=95b2ff5235b92a4e, spanId=2bddd0dca54f331e, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=95b2ff5235b92a4e, timestamp=1516793981599500, }
{traceId=95b2ff5235b92a4e, spanId=2bddd0dca54f331e, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=95b2ff5235b92a4e, timestamp=1516793981604500, }
{traceId=95b2ff5235b92a4e, spanId=2bddd0dca54f331e, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=95b2ff5235b92a4e, timestamp=1516793981607000, }
{traceId=95b2ff5235b92a4e, spanId=10b4652eea907ce2, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=95b2ff5235b92a4e, timestamp=1516793981608000, }
{traceId=95b2ff5235b92a4e, spanId=10b4652eea907ce2, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=95b2ff5235b92a4e, timestamp=1516793981611500, }
{traceId=95b2ff5235b92a4e, spanId=a011a6129a2e1789, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=10b4652eea907ce2, timestamp=1516793981614500, }
{traceId=95b2ff5235b92a4e, spanId=a011a6129a2e1789, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=10b4652eea907ce2, timestamp=1516793981618000, }
{traceId=95b2ff5235b92a4e, spanId=a011a6129a2e1789, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=10b4652eea907ce2, timestamp=1516793981626000, }
{traceId=95b2ff5235b92a4e, spanId=a011a6129a2e1789, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=10b4652eea907ce2, timestamp=1516793981629500, }
{traceId=95b2ff5235b92a4e, spanId=4b46504ad51cd818, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=10b4652eea907ce2, timestamp=1516793981631500, }
{traceId=95b2ff5235b92a4e, spanId=4b46504ad51cd818, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=10b4652eea907ce2, timestamp=1516793981634000, }
{traceId=95b2ff5235b92a4e, spanId=4b46504ad51cd818, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=10b4652eea907ce2, timestamp=1516793981644000, }
{traceId=95b2ff5235b92a4e, spanId=4b46504ad51cd818, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=10b4652eea907ce2, timestamp=1516793981646500, }
