
=== TestCase7 case7\fail1\basic-2 Fail execution 1 ===
{traceId=9505bbebcf4cac62, spanId=9505bbebcf4cac62, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516796703374000, }
{traceId=9505bbebcf4cac62, spanId=f0674f9806d76699, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9505bbebcf4cac62, timestamp=1516796703378000, }
{traceId=9505bbebcf4cac62, spanId=f0674f9806d76699, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=9505bbebcf4cac62, timestamp=1516796703380000, }
{traceId=9505bbebcf4cac62, spanId=f0674f9806d76699, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=9505bbebcf4cac62, timestamp=1516796703385000, }
{traceId=9505bbebcf4cac62, spanId=f0674f9806d76699, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=9505bbebcf4cac62, timestamp=1516796703387000, }
{traceId=9505bbebcf4cac62, spanId=8db75d837fd6c5d8, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9505bbebcf4cac62, timestamp=1516796703388000, }
{traceId=9505bbebcf4cac62, spanId=8db75d837fd6c5d8, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=9505bbebcf4cac62, timestamp=1516796703391000, }
{traceId=9505bbebcf4cac62, spanId=dab8e4dfb14cfde2, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=8db75d837fd6c5d8, timestamp=1516796703395000, }
{traceId=9505bbebcf4cac62, spanId=dab8e4dfb14cfde2, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=8db75d837fd6c5d8, timestamp=1516796703398500, }
{traceId=9505bbebcf4cac62, spanId=dab8e4dfb14cfde2, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=8db75d837fd6c5d8, timestamp=1516796703404500, }
{traceId=9505bbebcf4cac62, spanId=dab8e4dfb14cfde2, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=8db75d837fd6c5d8, timestamp=1516796703408000, }
