
=== TestCase9 case9\fail1\basic-1 Fail execution 1 ===
{traceId=8626ff785cc4a2ae, spanId=8626ff785cc4a2ae, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1516798462156000, }
{traceId=8626ff785cc4a2ae, spanId=fa4ab2625ee44922, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=8626ff785cc4a2ae, timestamp=1516798462158000, }
{traceId=8626ff785cc4a2ae, spanId=fa4ab2625ee44922, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=8626ff785cc4a2ae, timestamp=1516798462159500, }
{traceId=8626ff785cc4a2ae, spanId=01fe9f061cda7415, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=fa4ab2625ee44922, timestamp=1516798462160500, }
{traceId=8626ff785cc4a2ae, spanId=01fe9f061cda7415, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=fa4ab2625ee44922, timestamp=1516798462162000, }
{traceId=8626ff785cc4a2ae, spanId=6049b8243455b46c, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=01fe9f061cda7415, timestamp=1516798462164000, }
{traceId=8626ff785cc4a2ae, spanId=6049b8243455b46c, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=01fe9f061cda7415, timestamp=1516798462166000, }
{traceId=8626ff785cc4a2ae, spanId=6049b8243455b46c, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=01fe9f061cda7415, timestamp=1516798462169000, }
{traceId=8626ff785cc4a2ae, spanId=6049b8243455b46c, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=01fe9f061cda7415, timestamp=1516798462171000, }
{traceId=8626ff785cc4a2ae, spanId=01fe9f061cda7415, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=fa4ab2625ee44922, timestamp=1516798462172000, }
{traceId=8626ff785cc4a2ae, spanId=01fe9f061cda7415, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=fa4ab2625ee44922, timestamp=1516798462173500, }
