
=== TestCase9 case9\fail1\basic-2 Fail execution 1 ===
{traceId=9799449db8724f6a, spanId=9799449db8724f6a, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516798466052000, }
{traceId=9799449db8724f6a, spanId=fa0618f28fd1c328, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9799449db8724f6a, timestamp=1516798466056000, }
{traceId=9799449db8724f6a, spanId=fa0618f28fd1c328, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=9799449db8724f6a, timestamp=1516798466058000, }
{traceId=9799449db8724f6a, spanId=fa0618f28fd1c328, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=9799449db8724f6a, timestamp=1516798466063000, }
{traceId=9799449db8724f6a, spanId=fa0618f28fd1c328, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=9799449db8724f6a, timestamp=1516798466065000, }
{traceId=9799449db8724f6a, spanId=a2f2ad091204cdb0, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9799449db8724f6a, timestamp=1516798466066000, }
{traceId=9799449db8724f6a, spanId=a2f2ad091204cdb0, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=9799449db8724f6a, timestamp=1516798466068500, }
{traceId=9799449db8724f6a, spanId=52a1b069ccc57385, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=a2f2ad091204cdb0, timestamp=1516798466072500, }
{traceId=9799449db8724f6a, spanId=52a1b069ccc57385, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=a2f2ad091204cdb0, timestamp=1516798466076000, }
{traceId=9799449db8724f6a, spanId=52a1b069ccc57385, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=a2f2ad091204cdb0, timestamp=1516798466084000, }
{traceId=9799449db8724f6a, spanId=52a1b069ccc57385, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=a2f2ad091204cdb0, timestamp=1516798466087500, }
{traceId=9799449db8724f6a, spanId=e0224c16b8521877, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=a2f2ad091204cdb0, timestamp=1516798466089500, }
{traceId=9799449db8724f6a, spanId=e0224c16b8521877, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=a2f2ad091204cdb0, timestamp=1516798466091500, }
{traceId=9799449db8724f6a, spanId=e0224c16b8521877, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=a2f2ad091204cdb0, timestamp=1516798466100500, }
{traceId=9799449db8724f6a, spanId=e0224c16b8521877, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=a2f2ad091204cdb0, timestamp=1516798466102500, }
{traceId=9799449db8724f6a, spanId=a2f2ad091204cdb0, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=9799449db8724f6a, timestamp=1516798466110500, }
{traceId=9799449db8724f6a, spanId=a2f2ad091204cdb0, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=9799449db8724f6a, timestamp=1516798466113000, }
{traceId=9799449db8724f6a, spanId=98b9b895971158ef, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9799449db8724f6a, timestamp=1516798466114000, }
{traceId=9799449db8724f6a, spanId=98b9b895971158ef, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=9799449db8724f6a, timestamp=1516798466116500, }
