
=== TestCase3 case3\success\basic Success execution 1 ===
{traceId=03ed6f6ec884c8af, spanId=03ed6f6ec884c8af, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516877905231000, }
{traceId=03ed6f6ec884c8af, spanId=727b9ff89014e3d9, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=03ed6f6ec884c8af, timestamp=1516877905236000, }
{traceId=03ed6f6ec884c8af, spanId=727b9ff89014e3d9, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=03ed6f6ec884c8af, timestamp=1516877905238500, }
{traceId=03ed6f6ec884c8af, spanId=727b9ff89014e3d9, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=03ed6f6ec884c8af, timestamp=1516877905243500, }
{traceId=03ed6f6ec884c8af, spanId=727b9ff89014e3d9, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=03ed6f6ec884c8af, timestamp=1516877905246000, }
{traceId=03ed6f6ec884c8af, spanId=6448c947b27cbce5, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=03ed6f6ec884c8af, timestamp=1516877905248000, }
{traceId=03ed6f6ec884c8af, spanId=6448c947b27cbce5, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=03ed6f6ec884c8af, timestamp=1516877905250000, }
{traceId=03ed6f6ec884c8af, spanId=3294969169d4342c, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=6448c947b27cbce5, timestamp=1516877905255000, }
{traceId=03ed6f6ec884c8af, spanId=3294969169d4342c, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=6448c947b27cbce5, timestamp=1516877905258000, }
{traceId=03ed6f6ec884c8af, spanId=3294969169d4342c, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=6448c947b27cbce5, timestamp=1516877905267000, }
{traceId=03ed6f6ec884c8af, spanId=3294969169d4342c, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=6448c947b27cbce5, timestamp=1516877905270000, }
