
=== TestCase10 case10\success\basic2 Success execution 1 ===
{traceId=eb32bc74848ea4c5, spanId=eb32bc74848ea4c5, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517225081306000, }
{traceId=eb32bc74848ea4c5, spanId=18626d796a2aad42, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=eb32bc74848ea4c5, timestamp=1517225081311000, }
{traceId=eb32bc74848ea4c5, spanId=18626d796a2aad42, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=eb32bc74848ea4c5, timestamp=1517225081312500, }
{traceId=eb32bc74848ea4c5, spanId=18626d796a2aad42, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=eb32bc74848ea4c5, timestamp=1517225081316500, }
{traceId=eb32bc74848ea4c5, spanId=18626d796a2aad42, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=eb32bc74848ea4c5, timestamp=1517225081318000, }
{traceId=eb32bc74848ea4c5, spanId=8241af3a9d4985ee, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=eb32bc74848ea4c5, timestamp=1517225081320000, }
{traceId=eb32bc74848ea4c5, spanId=8241af3a9d4985ee, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=eb32bc74848ea4c5, timestamp=1517225081322000, }
{traceId=eb32bc74848ea4c5, spanId=b1b9d15f5f06615a, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=8241af3a9d4985ee, timestamp=1517225081326000, }
{traceId=eb32bc74848ea4c5, spanId=b1b9d15f5f06615a, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=8241af3a9d4985ee, timestamp=1517225081328000, }
{traceId=eb32bc74848ea4c5, spanId=b1b9d15f5f06615a, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=8241af3a9d4985ee, timestamp=1517225081332000, }
{traceId=eb32bc74848ea4c5, spanId=b1b9d15f5f06615a, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=8241af3a9d4985ee, timestamp=1517225081334000, }
{traceId=eb32bc74848ea4c5, spanId=38f6be03b69df89b, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=8241af3a9d4985ee, timestamp=1517225081336000, }
{traceId=eb32bc74848ea4c5, spanId=38f6be03b69df89b, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=8241af3a9d4985ee, timestamp=1517225081338000, }
{traceId=eb32bc74848ea4c5, spanId=38f6be03b69df89b, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=8241af3a9d4985ee, timestamp=1517225081342000, }
{traceId=eb32bc74848ea4c5, spanId=38f6be03b69df89b, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=8241af3a9d4985ee, timestamp=1517225081344000, }
{traceId=eb32bc74848ea4c5, spanId=8241af3a9d4985ee, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=eb32bc74848ea4c5, timestamp=1517225081349000, }
{traceId=eb32bc74848ea4c5, spanId=8241af3a9d4985ee, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=eb32bc74848ea4c5, timestamp=1517225081351000, }
{traceId=eb32bc74848ea4c5, spanId=53b0d8fe0253c9c7, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=eb32bc74848ea4c5, timestamp=1517225081352000, }
{traceId=eb32bc74848ea4c5, spanId=53b0d8fe0253c9c7, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=eb32bc74848ea4c5, timestamp=1517225081354000, }
{traceId=eb32bc74848ea4c5, spanId=b013ae6be49e73e7, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=53b0d8fe0253c9c7, timestamp=1517225081356000, }
{traceId=eb32bc74848ea4c5, spanId=b013ae6be49e73e7, hostName=ts-sso-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-sso-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":3,"ts-security-service":6,"ts-order-other-service":2}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=53b0d8fe0253c9c7, timestamp=1517225081358000, }
{traceId=eb32bc74848ea4c5, spanId=b013ae6be49e73e7, hostName=ts-sso-service, destName=ts-contacts-service, host=ts-sso-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=53b0d8fe0253c9c7, timestamp=1517225081363000, }
{traceId=eb32bc74848ea4c5, spanId=b013ae6be49e73e7, hostName=ts-contacts-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":3,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cr, parentId=53b0d8fe0253c9c7, timestamp=1517225081365000, }
{traceId=eb32bc74848ea4c5, spanId=53b0d8fe0253c9c7, hostName=ts-contacts-service, destName=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=ss, parentId=eb32bc74848ea4c5, timestamp=1517225081369000, }
{traceId=eb32bc74848ea4c5, spanId=53b0d8fe0253c9c7, hostName=ts-preserve-other-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":7,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=eb32bc74848ea4c5, timestamp=1517225081371000, }
{traceId=eb32bc74848ea4c5, spanId=5917c7ba79ed9d13, hostName=ts-preserve-other-service, destName=ts-travel2-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-travel2-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=eb32bc74848ea4c5, timestamp=1517225081373000, }
{traceId=eb32bc74848ea4c5, spanId=5917c7ba79ed9d13, hostName=ts-travel2-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-travel2-service, clock={"ts-travel2-service":1,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=sr, parentId=eb32bc74848ea4c5, timestamp=1517225081374500, }
{traceId=eb32bc74848ea4c5, spanId=03a5d5b5caf51e1e, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cs, parentId=5917c7ba79ed9d13, timestamp=1517225081377500, }
{traceId=eb32bc74848ea4c5, spanId=03a5d5b5caf51e1e, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=5917c7ba79ed9d13, timestamp=1517225081378500, }
