
=== TestCase2 case2\fail1\basic1 Fail execution 1 ===
{traceId=5d75cf6136d10c77, spanId=5d75cf6136d10c77, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517208176733000, }
{traceId=5d75cf6136d10c77, spanId=03c75d5bb7cb405c, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=5d75cf6136d10c77, timestamp=1517208176736000, }
{traceId=5d75cf6136d10c77, spanId=03c75d5bb7cb405c, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=5d75cf6136d10c77, timestamp=1517208176742500, }
{traceId=5d75cf6136d10c77, spanId=33f7d0f5f333d284, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=03c75d5bb7cb405c, timestamp=1517208176744500, }
{traceId=5d75cf6136d10c77, spanId=33f7d0f5f333d284, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=03c75d5bb7cb405c, timestamp=1517208176752500, }
{traceId=5d75cf6136d10c77, spanId=28811ce6dabb3ca0, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=33f7d0f5f333d284, timestamp=1517208176754500, }
{traceId=5d75cf6136d10c77, spanId=28811ce6dabb3ca0, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=33f7d0f5f333d284, timestamp=1517208176760500, }
{traceId=5d75cf6136d10c77, spanId=28811ce6dabb3ca0, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=33f7d0f5f333d284, timestamp=1517208176764500, }
{traceId=5d75cf6136d10c77, spanId=28811ce6dabb3ca0, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=33f7d0f5f333d284, timestamp=1517208176770500, }
{traceId=5d75cf6136d10c77, spanId=33f7d0f5f333d284, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=03c75d5bb7cb405c, timestamp=1517208176771500, }
{traceId=5d75cf6136d10c77, spanId=33f7d0f5f333d284, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=03c75d5bb7cb405c, timestamp=1517208176779500, }
{traceId=5d75cf6136d10c77, spanId=03c75d5bb7cb405c, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=5d75cf6136d10c77, timestamp=1517208176781500, }
{traceId=5d75cf6136d10c77, spanId=03c75d5bb7cb405c, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=5d75cf6136d10c77, timestamp=1517208176788000, }
{traceId=5d75cf6136d10c77, spanId=fbb5b396807ccebe, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=5d75cf6136d10c77, timestamp=1517208176791000, }
{traceId=5d75cf6136d10c77, spanId=fbb5b396807ccebe, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=5d75cf6136d10c77, timestamp=1517208176793000, }
{traceId=5d75cf6136d10c77, spanId=df0f2332d5b79f97, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=fbb5b396807ccebe, timestamp=1517208176795000, }
{traceId=5d75cf6136d10c77, spanId=df0f2332d5b79f97, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=fbb5b396807ccebe, timestamp=1517208176797000, }
{traceId=5d75cf6136d10c77, spanId=49a46d2805a1a43a, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=df0f2332d5b79f97, timestamp=1517208176800000, }
{traceId=5d75cf6136d10c77, spanId=49a46d2805a1a43a, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=df0f2332d5b79f97, timestamp=1517208176802000, }
{traceId=5d75cf6136d10c77, spanId=49a46d2805a1a43a, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=df0f2332d5b79f97, timestamp=1517208176806000, }
{traceId=5d75cf6136d10c77, spanId=49a46d2805a1a43a, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=df0f2332d5b79f97, timestamp=1517208176808000, }
