
=== TestCase2 case2\fail1\basic2 Fail execution 1 ===
{traceId=6b3e21116db1e3d0, spanId=6b3e21116db1e3d0, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517208182482000, }
{traceId=6b3e21116db1e3d0, spanId=1936824d94095567, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=6b3e21116db1e3d0, timestamp=1517208182488000, }
{traceId=6b3e21116db1e3d0, spanId=1936824d94095567, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=6b3e21116db1e3d0, timestamp=1517208182496500, }
{traceId=6b3e21116db1e3d0, spanId=1936824d94095567, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=6b3e21116db1e3d0, timestamp=1517208182501500, }
{traceId=6b3e21116db1e3d0, spanId=1936824d94095567, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=6b3e21116db1e3d0, timestamp=1517208182510000, }
{traceId=6b3e21116db1e3d0, spanId=50f185133e97f7f4, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=6b3e21116db1e3d0, timestamp=1517208182511000, }
{traceId=6b3e21116db1e3d0, spanId=50f185133e97f7f4, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=6b3e21116db1e3d0, timestamp=1517208182518500, }
{traceId=6b3e21116db1e3d0, spanId=2d6f8317f3aeabc2, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=50f185133e97f7f4, timestamp=1517208182523500, }
{traceId=6b3e21116db1e3d0, spanId=2d6f8317f3aeabc2, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=50f185133e97f7f4, timestamp=1517208182536500, }
{traceId=6b3e21116db1e3d0, spanId=2d6f8317f3aeabc2, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=50f185133e97f7f4, timestamp=1517208182546500, }
{traceId=6b3e21116db1e3d0, spanId=2d6f8317f3aeabc2, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=50f185133e97f7f4, timestamp=1517208182559500, }
{traceId=6b3e21116db1e3d0, spanId=bc3b4eee6b888d83, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=50f185133e97f7f4, timestamp=1517208182561500, }
{traceId=6b3e21116db1e3d0, spanId=bc3b4eee6b888d83, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=50f185133e97f7f4, timestamp=1517208182569000, }
{traceId=6b3e21116db1e3d0, spanId=bc3b4eee6b888d83, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=50f185133e97f7f4, timestamp=1517208182577000, }
{traceId=6b3e21116db1e3d0, spanId=bc3b4eee6b888d83, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=50f185133e97f7f4, timestamp=1517208182584500, }
{traceId=6b3e21116db1e3d0, spanId=50f185133e97f7f4, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=6b3e21116db1e3d0, timestamp=1517208182591500, }
{traceId=6b3e21116db1e3d0, spanId=50f185133e97f7f4, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=6b3e21116db1e3d0, timestamp=1517208182599000, }
{traceId=6b3e21116db1e3d0, spanId=2d029c3f09cdc3b3, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=6b3e21116db1e3d0, timestamp=1517208182602000, }
{traceId=6b3e21116db1e3d0, spanId=2d029c3f09cdc3b3, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=6b3e21116db1e3d0, timestamp=1517208182610500, }
{traceId=6b3e21116db1e3d0, spanId=e04f47c7a2659f23, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=2d029c3f09cdc3b3, timestamp=1517208182614500, }
{traceId=6b3e21116db1e3d0, spanId=e04f47c7a2659f23, hostName=ts-sso-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-sso-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":3,"ts-security-service":6,"ts-order-other-service":2}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=2d029c3f09cdc3b3, timestamp=1517208182618500, }
