
=== TestCase2 case2\success\basic2 Success execution 1 ===
{traceId=bbd4be1a07d4360d, spanId=bbd4be1a07d4360d, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517222711091000, }
{traceId=bbd4be1a07d4360d, spanId=eb62ffa0b082551f, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=bbd4be1a07d4360d, timestamp=1517222711095000, }
{traceId=bbd4be1a07d4360d, spanId=eb62ffa0b082551f, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=bbd4be1a07d4360d, timestamp=1517222711097000, }
{traceId=bbd4be1a07d4360d, spanId=eb62ffa0b082551f, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=bbd4be1a07d4360d, timestamp=1517222711101000, }
{traceId=bbd4be1a07d4360d, spanId=eb62ffa0b082551f, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=bbd4be1a07d4360d, timestamp=1517222711103000, }
{traceId=bbd4be1a07d4360d, spanId=98fbb5f8777781df, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=bbd4be1a07d4360d, timestamp=1517222711105000, }
{traceId=bbd4be1a07d4360d, spanId=98fbb5f8777781df, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=bbd4be1a07d4360d, timestamp=1517222711106500, }
{traceId=bbd4be1a07d4360d, spanId=b726aa80b803ea94, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=98fbb5f8777781df, timestamp=1517222711110500, }
{traceId=bbd4be1a07d4360d, spanId=b726aa80b803ea94, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=98fbb5f8777781df, timestamp=1517222711112500, }
{traceId=bbd4be1a07d4360d, spanId=b726aa80b803ea94, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=98fbb5f8777781df, timestamp=1517222711117500, }
{traceId=bbd4be1a07d4360d, spanId=b726aa80b803ea94, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=98fbb5f8777781df, timestamp=1517222711119500, }
{traceId=bbd4be1a07d4360d, spanId=720a82f5bde44be5, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=98fbb5f8777781df, timestamp=1517222711120500, }
{traceId=bbd4be1a07d4360d, spanId=720a82f5bde44be5, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=98fbb5f8777781df, timestamp=1517222711122000, }
{traceId=bbd4be1a07d4360d, spanId=720a82f5bde44be5, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=98fbb5f8777781df, timestamp=1517222711127000, }
{traceId=bbd4be1a07d4360d, spanId=720a82f5bde44be5, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=98fbb5f8777781df, timestamp=1517222711128500, }
{traceId=bbd4be1a07d4360d, spanId=98fbb5f8777781df, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=bbd4be1a07d4360d, timestamp=1517222711136500, }
{traceId=bbd4be1a07d4360d, spanId=98fbb5f8777781df, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=bbd4be1a07d4360d, timestamp=1517222711138000, }
{traceId=bbd4be1a07d4360d, spanId=3ec65f29af2aff35, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=bbd4be1a07d4360d, timestamp=1517222711140000, }
{traceId=bbd4be1a07d4360d, spanId=3ec65f29af2aff35, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=bbd4be1a07d4360d, timestamp=1517222711142000, }
{traceId=bbd4be1a07d4360d, spanId=be562b50ba5a63d9, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=3ec65f29af2aff35, timestamp=1517222711144000, }
{traceId=bbd4be1a07d4360d, spanId=be562b50ba5a63d9, hostName=ts-sso-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-sso-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":3,"ts-security-service":6,"ts-order-other-service":2}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=3ec65f29af2aff35, timestamp=1517222711145000, }
{traceId=bbd4be1a07d4360d, spanId=be562b50ba5a63d9, hostName=ts-sso-service, destName=ts-contacts-service, host=ts-sso-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=3ec65f29af2aff35, timestamp=1517222711151000, }
{traceId=bbd4be1a07d4360d, spanId=be562b50ba5a63d9, hostName=ts-contacts-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":3,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cr, parentId=3ec65f29af2aff35, timestamp=1517222711152000, }
{traceId=bbd4be1a07d4360d, spanId=3ec65f29af2aff35, hostName=ts-contacts-service, destName=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=ss, parentId=bbd4be1a07d4360d, timestamp=1517222711158000, }
{traceId=bbd4be1a07d4360d, spanId=3ec65f29af2aff35, hostName=ts-preserve-other-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":7,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=bbd4be1a07d4360d, timestamp=1517222711160000, }
