
=== TestCase3 case3\fail1\basic1 Fail execution 1 ===
{traceId=8a26b5a4af8fa7ca, spanId=8a26b5a4af8fa7ca, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517209135583000, }
{traceId=8a26b5a4af8fa7ca, spanId=24f2b13da57e7277, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=8a26b5a4af8fa7ca, timestamp=1517209135586000, }
{traceId=8a26b5a4af8fa7ca, spanId=24f2b13da57e7277, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=8a26b5a4af8fa7ca, timestamp=1517209135601000, }
{traceId=8a26b5a4af8fa7ca, spanId=894c5afade5b7c0f, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=24f2b13da57e7277, timestamp=1517209135603000, }
{traceId=8a26b5a4af8fa7ca, spanId=894c5afade5b7c0f, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=24f2b13da57e7277, timestamp=1517209135609500, }
{traceId=8a26b5a4af8fa7ca, spanId=d40e53fd3ba09892, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=894c5afade5b7c0f, timestamp=1517209135612500, }
{traceId=8a26b5a4af8fa7ca, spanId=d40e53fd3ba09892, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=894c5afade5b7c0f, timestamp=1517209135619500, }
{traceId=8a26b5a4af8fa7ca, spanId=d40e53fd3ba09892, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=894c5afade5b7c0f, timestamp=1517209135623500, }
{traceId=8a26b5a4af8fa7ca, spanId=d40e53fd3ba09892, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=894c5afade5b7c0f, timestamp=1517209135630500, }
{traceId=8a26b5a4af8fa7ca, spanId=894c5afade5b7c0f, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=24f2b13da57e7277, timestamp=1517209135632500, }
{traceId=8a26b5a4af8fa7ca, spanId=894c5afade5b7c0f, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=24f2b13da57e7277, timestamp=1517209135639000, }
{traceId=8a26b5a4af8fa7ca, spanId=24f2b13da57e7277, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=8a26b5a4af8fa7ca, timestamp=1517209135640000, }
{traceId=8a26b5a4af8fa7ca, spanId=24f2b13da57e7277, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=8a26b5a4af8fa7ca, timestamp=1517209135655000, }
{traceId=8a26b5a4af8fa7ca, spanId=b9d44fcffdfdd639, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=8a26b5a4af8fa7ca, timestamp=1517209135657000, }
{traceId=8a26b5a4af8fa7ca, spanId=b9d44fcffdfdd639, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=8a26b5a4af8fa7ca, timestamp=1517209135658500, }
{traceId=8a26b5a4af8fa7ca, spanId=0a9da79c05dfb3a5, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=b9d44fcffdfdd639, timestamp=1517209135660500, }
