
=== TestCase8 case8\success\basic2 Success execution 1 ===
{traceId=0097cea16167cce6, spanId=0097cea16167cce6, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517224377907000, }
{traceId=0097cea16167cce6, spanId=0bdc677495c24c62, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=0097cea16167cce6, timestamp=1517224377911000, }
{traceId=0097cea16167cce6, spanId=0bdc677495c24c62, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=0097cea16167cce6, timestamp=1517224377913000, }
{traceId=0097cea16167cce6, spanId=0bdc677495c24c62, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=0097cea16167cce6, timestamp=1517224377918000, }
{traceId=0097cea16167cce6, spanId=0bdc677495c24c62, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=0097cea16167cce6, timestamp=1517224377920000, }
{traceId=0097cea16167cce6, spanId=0b76d55f69eb5560, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=0097cea16167cce6, timestamp=1517224377921000, }
{traceId=0097cea16167cce6, spanId=0b76d55f69eb5560, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=0097cea16167cce6, timestamp=1517224377924000, }
{traceId=0097cea16167cce6, spanId=8cbb2125a281879b, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=0b76d55f69eb5560, timestamp=1517224377927000, }
{traceId=0097cea16167cce6, spanId=8cbb2125a281879b, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=0b76d55f69eb5560, timestamp=1517224377929000, }
{traceId=0097cea16167cce6, spanId=8cbb2125a281879b, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=0b76d55f69eb5560, timestamp=1517224377934000, }
{traceId=0097cea16167cce6, spanId=8cbb2125a281879b, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=0b76d55f69eb5560, timestamp=1517224377936000, }
