
=== TestCase9 case9\fail1\basic2 Fail execution 1 ===
{traceId=d603b8fd7df3a340, spanId=d603b8fd7df3a340, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517212405772000, }
{traceId=d603b8fd7df3a340, spanId=f2bb45010cab89cf, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d603b8fd7df3a340, timestamp=1517212405776000, }
{traceId=d603b8fd7df3a340, spanId=f2bb45010cab89cf, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=d603b8fd7df3a340, timestamp=1517212405782000, }
{traceId=d603b8fd7df3a340, spanId=f2bb45010cab89cf, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=d603b8fd7df3a340, timestamp=1517212405786000, }
{traceId=d603b8fd7df3a340, spanId=f2bb45010cab89cf, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=d603b8fd7df3a340, timestamp=1517212405792000, }
{traceId=d603b8fd7df3a340, spanId=74f8c0b999ffb50e, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d603b8fd7df3a340, timestamp=1517212405793000, }
{traceId=d603b8fd7df3a340, spanId=74f8c0b999ffb50e, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=d603b8fd7df3a340, timestamp=1517212405799500, }
{traceId=d603b8fd7df3a340, spanId=dc4a5a4b24e118b9, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=74f8c0b999ffb50e, timestamp=1517212405802500, }
{traceId=d603b8fd7df3a340, spanId=dc4a5a4b24e118b9, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=74f8c0b999ffb50e, timestamp=1517212405810000, }
{traceId=d603b8fd7df3a340, spanId=dc4a5a4b24e118b9, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=74f8c0b999ffb50e, timestamp=1517212405814000, }
{traceId=d603b8fd7df3a340, spanId=dc4a5a4b24e118b9, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=74f8c0b999ffb50e, timestamp=1517212405821500, }
{traceId=d603b8fd7df3a340, spanId=aaa696f12c995d61, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=74f8c0b999ffb50e, timestamp=1517212405822500, }
{traceId=d603b8fd7df3a340, spanId=aaa696f12c995d61, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=74f8c0b999ffb50e, timestamp=1517212405829000, }
{traceId=d603b8fd7df3a340, spanId=aaa696f12c995d61, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=74f8c0b999ffb50e, timestamp=1517212405832000, }
{traceId=d603b8fd7df3a340, spanId=aaa696f12c995d61, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=74f8c0b999ffb50e, timestamp=1517212405838500, }
{traceId=d603b8fd7df3a340, spanId=74f8c0b999ffb50e, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=d603b8fd7df3a340, timestamp=1517212405844500, }
{traceId=d603b8fd7df3a340, spanId=74f8c0b999ffb50e, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=d603b8fd7df3a340, timestamp=1517212405851000, }
{traceId=d603b8fd7df3a340, spanId=0a1a3b03879d3bed, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d603b8fd7df3a340, timestamp=1517212405852000, }
{traceId=d603b8fd7df3a340, spanId=0a1a3b03879d3bed, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=d603b8fd7df3a340, timestamp=1517212405858000, }
{traceId=d603b8fd7df3a340, spanId=6aa3e1adecfa7e38, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=0a1a3b03879d3bed, timestamp=1517212405860000, }
{traceId=d603b8fd7df3a340, spanId=6aa3e1adecfa7e38, hostName=ts-sso-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-sso-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":3,"ts-security-service":6,"ts-order-other-service":2}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=0a1a3b03879d3bed, timestamp=1517212405863500, }
{traceId=d603b8fd7df3a340, spanId=6aa3e1adecfa7e38, hostName=ts-sso-service, destName=ts-contacts-service, host=ts-sso-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=0a1a3b03879d3bed, timestamp=1517212405867500, }
