
=== TestCase4 case4\fail1\basic2 Fail execution 1 ===
{traceId=9df16f9e6065a26a, spanId=9df16f9e6065a26a, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516848186104000, }
{traceId=9df16f9e6065a26a, spanId=f65c59bb4976e8e1, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9df16f9e6065a26a, timestamp=1516848186109000, }
{traceId=9df16f9e6065a26a, spanId=f65c59bb4976e8e1, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=9df16f9e6065a26a, timestamp=1516848186111000, }
{traceId=9df16f9e6065a26a, spanId=f65c59bb4976e8e1, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=9df16f9e6065a26a, timestamp=1516848186115000, }
{traceId=9df16f9e6065a26a, spanId=f65c59bb4976e8e1, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=9df16f9e6065a26a, timestamp=1516848186117000, }
{traceId=9df16f9e6065a26a, spanId=5b042b04bf86a6be, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9df16f9e6065a26a, timestamp=1516848186119000, }
{traceId=9df16f9e6065a26a, spanId=5b042b04bf86a6be, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=9df16f9e6065a26a, timestamp=1516848186121000, }
{traceId=9df16f9e6065a26a, spanId=ac04dfafcd2579ab, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=5b042b04bf86a6be, timestamp=1516848186125000, }
{traceId=9df16f9e6065a26a, spanId=ac04dfafcd2579ab, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=5b042b04bf86a6be, timestamp=1516848186127500, }
{traceId=9df16f9e6065a26a, spanId=ac04dfafcd2579ab, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=5b042b04bf86a6be, timestamp=1516848186136500, }
{traceId=9df16f9e6065a26a, spanId=ac04dfafcd2579ab, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=5b042b04bf86a6be, timestamp=1516848186139000, }
{traceId=9df16f9e6065a26a, spanId=e3cddc310cdf4a22, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=5b042b04bf86a6be, timestamp=1516848186141000, }
{traceId=9df16f9e6065a26a, spanId=e3cddc310cdf4a22, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=5b042b04bf86a6be, timestamp=1516848186142500, }
{traceId=9df16f9e6065a26a, spanId=e3cddc310cdf4a22, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=5b042b04bf86a6be, timestamp=1516848186149500, }
{traceId=9df16f9e6065a26a, spanId=e3cddc310cdf4a22, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=5b042b04bf86a6be, timestamp=1516848186151000, }
{traceId=9df16f9e6065a26a, spanId=5b042b04bf86a6be, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=9df16f9e6065a26a, timestamp=1516848186157000, }
{traceId=9df16f9e6065a26a, spanId=5b042b04bf86a6be, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=9df16f9e6065a26a, timestamp=1516848186159000, }
{traceId=9df16f9e6065a26a, spanId=c0df722b9de1e9c7, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=9df16f9e6065a26a, timestamp=1516848186161000, }
{traceId=9df16f9e6065a26a, spanId=c0df722b9de1e9c7, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=9df16f9e6065a26a, timestamp=1516848186163000, }
{traceId=9df16f9e6065a26a, spanId=80b658324ee37217, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=c0df722b9de1e9c7, timestamp=1516848186166000, }
