
=== TestCase4 case4\fail2\basic2 Fail execution 2 ===
{traceId=e8af5b7065d6ce85, spanId=e8af5b7065d6ce85, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516848450568000, }
{traceId=e8af5b7065d6ce85, spanId=0a4f4231af72ca83, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=e8af5b7065d6ce85, timestamp=1516848450572000, }
{traceId=e8af5b7065d6ce85, spanId=0a4f4231af72ca83, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=e8af5b7065d6ce85, timestamp=1516848450574500, }
{traceId=e8af5b7065d6ce85, spanId=0a4f4231af72ca83, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=e8af5b7065d6ce85, timestamp=1516848450578500, }
{traceId=e8af5b7065d6ce85, spanId=0a4f4231af72ca83, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=e8af5b7065d6ce85, timestamp=1516848450581000, }
{traceId=e8af5b7065d6ce85, spanId=a4c9ed5b7e5b7031, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=e8af5b7065d6ce85, timestamp=1516848450582000, }
{traceId=e8af5b7065d6ce85, spanId=a4c9ed5b7e5b7031, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=e8af5b7065d6ce85, timestamp=1516848450584500, }
{traceId=e8af5b7065d6ce85, spanId=32d876cd199a171f, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=a4c9ed5b7e5b7031, timestamp=1516848450587500, }
{traceId=e8af5b7065d6ce85, spanId=32d876cd199a171f, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=a4c9ed5b7e5b7031, timestamp=1516848450590000, }
{traceId=e8af5b7065d6ce85, spanId=32d876cd199a171f, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=a4c9ed5b7e5b7031, timestamp=1516848450598000, }
{traceId=e8af5b7065d6ce85, spanId=32d876cd199a171f, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=a4c9ed5b7e5b7031, timestamp=1516848450600500, }
