
=== TestCase5 case5\success\basic2 Success execution 1 ===
{traceId=dbac4a8b0021b92d, spanId=dbac4a8b0021b92d, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516854239954000, }
{traceId=dbac4a8b0021b92d, spanId=4021a20e3febf739, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=dbac4a8b0021b92d, timestamp=1516854239958000, }
{traceId=dbac4a8b0021b92d, spanId=4021a20e3febf739, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=dbac4a8b0021b92d, timestamp=1516854239960500, }
{traceId=dbac4a8b0021b92d, spanId=4021a20e3febf739, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=dbac4a8b0021b92d, timestamp=1516854239963500, }
{traceId=dbac4a8b0021b92d, spanId=4021a20e3febf739, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=dbac4a8b0021b92d, timestamp=1516854239966000, }
{traceId=dbac4a8b0021b92d, spanId=3c251f21ce73a343, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=dbac4a8b0021b92d, timestamp=1516854239968000, }
{traceId=dbac4a8b0021b92d, spanId=3c251f21ce73a343, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=dbac4a8b0021b92d, timestamp=1516854239970000, }
{traceId=dbac4a8b0021b92d, spanId=28232b1e3b577952, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=3c251f21ce73a343, timestamp=1516854239973000, }
{traceId=dbac4a8b0021b92d, spanId=28232b1e3b577952, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=3c251f21ce73a343, timestamp=1516854239975000, }
{traceId=dbac4a8b0021b92d, spanId=28232b1e3b577952, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=3c251f21ce73a343, timestamp=1516854239982000, }
{traceId=dbac4a8b0021b92d, spanId=28232b1e3b577952, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=3c251f21ce73a343, timestamp=1516854239984000, }
{traceId=dbac4a8b0021b92d, spanId=eeb5cec420974be0, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=3c251f21ce73a343, timestamp=1516854239985000, }
{traceId=dbac4a8b0021b92d, spanId=eeb5cec420974be0, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=3c251f21ce73a343, timestamp=1516854239987500, }
{traceId=dbac4a8b0021b92d, spanId=eeb5cec420974be0, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=3c251f21ce73a343, timestamp=1516854239993500, }
{traceId=dbac4a8b0021b92d, spanId=eeb5cec420974be0, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=3c251f21ce73a343, timestamp=1516854239996000, }
