
=== TestCase8 case8\fail1\basic2 Fail execution 1 ===
{traceId=b5488435091e7a40, spanId=b5488435091e7a40, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516855143189000, }
{traceId=b5488435091e7a40, spanId=927d6055d8d30124, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b5488435091e7a40, timestamp=1516855143192000, }
{traceId=b5488435091e7a40, spanId=927d6055d8d30124, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=b5488435091e7a40, timestamp=1516855143194000, }
{traceId=b5488435091e7a40, spanId=927d6055d8d30124, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=b5488435091e7a40, timestamp=1516855143198000, }
{traceId=b5488435091e7a40, spanId=927d6055d8d30124, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=b5488435091e7a40, timestamp=1516855143200000, }
{traceId=b5488435091e7a40, spanId=95ac55e35060d00e, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b5488435091e7a40, timestamp=1516855143202000, }
{traceId=b5488435091e7a40, spanId=95ac55e35060d00e, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=b5488435091e7a40, timestamp=1516855143204500, }
{traceId=b5488435091e7a40, spanId=f5aa077b3bd71d04, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=95ac55e35060d00e, timestamp=1516855143207500, }
{traceId=b5488435091e7a40, spanId=f5aa077b3bd71d04, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=95ac55e35060d00e, timestamp=1516855143210000, }
{traceId=b5488435091e7a40, spanId=f5aa077b3bd71d04, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=95ac55e35060d00e, timestamp=1516855143216000, }
{traceId=b5488435091e7a40, spanId=f5aa077b3bd71d04, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=95ac55e35060d00e, timestamp=1516855143218500, }
{traceId=b5488435091e7a40, spanId=45eca1cf196a909f, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=95ac55e35060d00e, timestamp=1516855143219500, }
{traceId=b5488435091e7a40, spanId=45eca1cf196a909f, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=95ac55e35060d00e, timestamp=1516855143221000, }
