
=== TestCase9 case9\fail1\basic2 Fail execution 1 ===
{traceId=ee7de6fdad5de221, spanId=ee7de6fdad5de221, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516855917397000, }
{traceId=ee7de6fdad5de221, spanId=cf71b93b3480978f, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=ee7de6fdad5de221, timestamp=1516855917400000, }
{traceId=ee7de6fdad5de221, spanId=cf71b93b3480978f, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=ee7de6fdad5de221, timestamp=1516855917402000, }
{traceId=ee7de6fdad5de221, spanId=cf71b93b3480978f, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=ee7de6fdad5de221, timestamp=1516855917406000, }
{traceId=ee7de6fdad5de221, spanId=cf71b93b3480978f, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=ee7de6fdad5de221, timestamp=1516855917408000, }
{traceId=ee7de6fdad5de221, spanId=03eb0ba3f1984f5d, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=ee7de6fdad5de221, timestamp=1516855917409000, }
{traceId=ee7de6fdad5de221, spanId=03eb0ba3f1984f5d, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=ee7de6fdad5de221, timestamp=1516855917410500, }
{traceId=ee7de6fdad5de221, spanId=fbfc39d66cf169bc, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=03eb0ba3f1984f5d, timestamp=1516855917413500, }
{traceId=ee7de6fdad5de221, spanId=fbfc39d66cf169bc, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=03eb0ba3f1984f5d, timestamp=1516855917416500, }
{traceId=ee7de6fdad5de221, spanId=fbfc39d66cf169bc, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=03eb0ba3f1984f5d, timestamp=1516855917426500, }
{traceId=ee7de6fdad5de221, spanId=fbfc39d66cf169bc, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=03eb0ba3f1984f5d, timestamp=1516855917429500, }
{traceId=ee7de6fdad5de221, spanId=5f1ec7831e0d182b, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=03eb0ba3f1984f5d, timestamp=1516855917433500, }
