
=== TestCase9 case9\fail2\basic2 Fail execution 2 ===
{traceId=cd56f21c03727f64, spanId=cd56f21c03727f64, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516856105233000, }
{traceId=cd56f21c03727f64, spanId=03772e51be8830bb, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=cd56f21c03727f64, timestamp=1516856105236000, }
{traceId=cd56f21c03727f64, spanId=03772e51be8830bb, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=cd56f21c03727f64, timestamp=1516856105238500, }
{traceId=cd56f21c03727f64, spanId=03772e51be8830bb, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=cd56f21c03727f64, timestamp=1516856105242500, }
{traceId=cd56f21c03727f64, spanId=03772e51be8830bb, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=cd56f21c03727f64, timestamp=1516856105245000, }
{traceId=cd56f21c03727f64, spanId=f57a7fe86dbb7b62, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=cd56f21c03727f64, timestamp=1516856105246000, }
{traceId=cd56f21c03727f64, spanId=f57a7fe86dbb7b62, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=cd56f21c03727f64, timestamp=1516856105248000, }
{traceId=cd56f21c03727f64, spanId=2bc001a753631c7b, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=f57a7fe86dbb7b62, timestamp=1516856105251000, }
{traceId=cd56f21c03727f64, spanId=2bc001a753631c7b, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=f57a7fe86dbb7b62, timestamp=1516856105253500, }
{traceId=cd56f21c03727f64, spanId=2bc001a753631c7b, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=f57a7fe86dbb7b62, timestamp=1516856105260500, }
{traceId=cd56f21c03727f64, spanId=2bc001a753631c7b, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=f57a7fe86dbb7b62, timestamp=1516856105263000, }
{traceId=cd56f21c03727f64, spanId=7ba2f4cd94ed2cc4, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=f57a7fe86dbb7b62, timestamp=1516856105264000, }
{traceId=cd56f21c03727f64, spanId=7ba2f4cd94ed2cc4, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=f57a7fe86dbb7b62, timestamp=1516856105267000, }
{traceId=cd56f21c03727f64, spanId=7ba2f4cd94ed2cc4, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=f57a7fe86dbb7b62, timestamp=1516856105274000, }
{traceId=cd56f21c03727f64, spanId=7ba2f4cd94ed2cc4, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=f57a7fe86dbb7b62, timestamp=1516856105277000, }
