
=== TestCase6 case6\success\basic Success execution 1 ===
{traceId=d81c1ebcd3082d0d, spanId=d81c1ebcd3082d0d, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516878618116000, }
{traceId=d81c1ebcd3082d0d, spanId=8150e94b3fb1e458, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d81c1ebcd3082d0d, timestamp=1516878618124000, }
{traceId=d81c1ebcd3082d0d, spanId=8150e94b3fb1e458, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=d81c1ebcd3082d0d, timestamp=1516878618126500, }
{traceId=d81c1ebcd3082d0d, spanId=8150e94b3fb1e458, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=d81c1ebcd3082d0d, timestamp=1516878618130500, }
{traceId=d81c1ebcd3082d0d, spanId=8150e94b3fb1e458, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=d81c1ebcd3082d0d, timestamp=1516878618133000, }
{traceId=d81c1ebcd3082d0d, spanId=e217c1a6a0701468, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d81c1ebcd3082d0d, timestamp=1516878618136000, }
{traceId=d81c1ebcd3082d0d, spanId=e217c1a6a0701468, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=d81c1ebcd3082d0d, timestamp=1516878618139000, }
{traceId=d81c1ebcd3082d0d, spanId=9bb74a54bf752bdc, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=e217c1a6a0701468, timestamp=1516878618143000, }
{traceId=d81c1ebcd3082d0d, spanId=9bb74a54bf752bdc, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=e217c1a6a0701468, timestamp=1516878618145000, }
{traceId=d81c1ebcd3082d0d, spanId=9bb74a54bf752bdc, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=e217c1a6a0701468, timestamp=1516878618155000, }
{traceId=d81c1ebcd3082d0d, spanId=9bb74a54bf752bdc, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=e217c1a6a0701468, timestamp=1516878618157000, }
