
=== TestCase9 case9\success\basic Success execution 1 ===
{traceId=70df2234d1fca047, spanId=70df2234d1fca047, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516879572904000, }
{traceId=70df2234d1fca047, spanId=7050b8e495ed2b86, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=70df2234d1fca047, timestamp=1516879572908000, }
{traceId=70df2234d1fca047, spanId=7050b8e495ed2b86, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=70df2234d1fca047, timestamp=1516879572910000, }
{traceId=70df2234d1fca047, spanId=7050b8e495ed2b86, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=70df2234d1fca047, timestamp=1516879572914000, }
{traceId=70df2234d1fca047, spanId=7050b8e495ed2b86, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=70df2234d1fca047, timestamp=1516879572916000, }
{traceId=70df2234d1fca047, spanId=3a2fec0365380d53, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=70df2234d1fca047, timestamp=1516879572917000, }
{traceId=70df2234d1fca047, spanId=3a2fec0365380d53, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=70df2234d1fca047, timestamp=1516879572920000, }
{traceId=70df2234d1fca047, spanId=9fe8bd84aca88690, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=3a2fec0365380d53, timestamp=1516879572923000, }
{traceId=70df2234d1fca047, spanId=9fe8bd84aca88690, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=3a2fec0365380d53, timestamp=1516879572925000, }
{traceId=70df2234d1fca047, spanId=9fe8bd84aca88690, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=3a2fec0365380d53, timestamp=1516879572932000, }
{traceId=70df2234d1fca047, spanId=9fe8bd84aca88690, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=3a2fec0365380d53, timestamp=1516879572934000, }
