
=== TestCase2 case2\success\basic-2 Success execution 1 ===
{traceId=f9f0c85a1d119819, spanId=f9f0c85a1d119819, hostName=ts-click-twice, srcName=null, src=null, host=ts-click-twice, clock={"ts-click-twice":1}, event=ts-click-twice.ClickController.clickTwice, type=sr, parentId=, timestamp=1516933279202000, }
{traceId=f9f0c85a1d119819, spanId=f17d3acddbb1949d, hostName=ts-click-twice, host=ts-click-twice, clock={"ts-click-twice":2}, event=ts-click-twice.AsyncTask.sendAsyncClickTwice, type=async, parentId=f9f0c85a1d119819, timestamp=1516933279207000, }
{traceId=f9f0c85a1d119819, spanId=bc47467537a8b6da, hostName=ts-click-twice, destName=ts-preserve-service, host=ts-click-twice, clock={"ts-click-twice":3}, dest=ts-preserve-service, event=ts-click-twice.AsyncTask.sendAsyncClickTwice, type=cs, parentId=f17d3acddbb1949d, timestamp=1516933279208000, }
{traceId=f9f0c85a1d119819, spanId=bc47467537a8b6da, hostName=ts-preserve-service, srcName=ts-click-twice, src=ts-click-twice, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-preserve-service":1}, event=ts-preserve-service.PreserveController.preserve, type=sr, parentId=f17d3acddbb1949d, timestamp=1516933279211000, }
{traceId=f9f0c85a1d119819, spanId=ae4123657cd315d9, hostName=ts-preserve-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-preserve-service":2}, event=ts-preserve-service.PreserveServiceImpl.preserve, type=async, parentId=bc47467537a8b6da, timestamp=1516933279214000, }
{traceId=f9f0c85a1d119819, spanId=af9688480495d931, hostName=ts-preserve-service, destName=ts-sso-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-preserve-service":3}, dest=ts-sso-service, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cs, parentId=ae4123657cd315d9, timestamp=1516933279471000, }
{traceId=f9f0c85a1d119819, spanId=af9688480495d931, hostName=ts-sso-service, srcName=ts-preserve-service, src=ts-preserve-service, host=ts-sso-service, clock={"ts-click-twice":3,"ts-sso-service":1,"ts-preserve-service":3}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=ae4123657cd315d9, timestamp=1516933279473500, }
{traceId=f9f0c85a1d119819, spanId=af9688480495d931, hostName=ts-sso-service, destName=ts-preserve-service, host=ts-sso-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":3}, dest=ts-preserve-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=ae4123657cd315d9, timestamp=1516933279477500, }
{traceId=f9f0c85a1d119819, spanId=af9688480495d931, hostName=ts-preserve-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":4}, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cr, parentId=ae4123657cd315d9, timestamp=1516933279480000, }
{traceId=f9f0c85a1d119819, spanId=4f7956980dd8ddea, hostName=ts-preserve-service, destName=ts-security-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":5}, dest=ts-security-service, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cs, parentId=ae4123657cd315d9, timestamp=1516933279482000, }
{traceId=f9f0c85a1d119819, spanId=4f7956980dd8ddea, hostName=ts-security-service, srcName=ts-preserve-service, src=ts-preserve-service, host=ts-security-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":5,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=ae4123657cd315d9, timestamp=1516933279484500, }
