
=== TestCase10 case10\fail2\basic2 Fail execution 2 ===
{traceId=3d8873866e057cae, spanId=3d8873866e057cae, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517213233239000, }
{traceId=3d8873866e057cae, spanId=0dd619b26faf2617, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3d8873866e057cae, timestamp=1517213233243000, }
{traceId=3d8873866e057cae, spanId=0dd619b26faf2617, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=3d8873866e057cae, timestamp=1517213233249000, }
{traceId=3d8873866e057cae, spanId=0dd619b26faf2617, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=3d8873866e057cae, timestamp=1517213233253000, }
{traceId=3d8873866e057cae, spanId=0dd619b26faf2617, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=3d8873866e057cae, timestamp=1517213233259000, }
{traceId=3d8873866e057cae, spanId=96b43867f0404912, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3d8873866e057cae, timestamp=1517213233260000, }
{traceId=3d8873866e057cae, spanId=96b43867f0404912, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=3d8873866e057cae, timestamp=1517213233266500, }
{traceId=3d8873866e057cae, spanId=21cfbaf17a243294, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=96b43867f0404912, timestamp=1517213233268500, }
{traceId=3d8873866e057cae, spanId=21cfbaf17a243294, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=96b43867f0404912, timestamp=1517213233276000, }
{traceId=3d8873866e057cae, spanId=21cfbaf17a243294, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=96b43867f0404912, timestamp=1517213233281000, }
{traceId=3d8873866e057cae, spanId=21cfbaf17a243294, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=96b43867f0404912, timestamp=1517213233288500, }
