
=== TestCase3 case3\success\basic2 Success execution 1 ===
{traceId=1c30b6084950e77d, spanId=1c30b6084950e77d, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517222933855000, }
{traceId=1c30b6084950e77d, spanId=5b89c2da5b671612, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1c30b6084950e77d, timestamp=1517222933859000, }
{traceId=1c30b6084950e77d, spanId=5b89c2da5b671612, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=1c30b6084950e77d, timestamp=1517222933861000, }
{traceId=1c30b6084950e77d, spanId=5b89c2da5b671612, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=1c30b6084950e77d, timestamp=1517222933865000, }
{traceId=1c30b6084950e77d, spanId=5b89c2da5b671612, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=1c30b6084950e77d, timestamp=1517222933867000, }
{traceId=1c30b6084950e77d, spanId=e09c7105eb9c3db1, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1c30b6084950e77d, timestamp=1517222933869000, }
{traceId=1c30b6084950e77d, spanId=e09c7105eb9c3db1, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=1c30b6084950e77d, timestamp=1517222933871000, }
{traceId=1c30b6084950e77d, spanId=edf9f53af4fb68dd, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=e09c7105eb9c3db1, timestamp=1517222933874000, }
{traceId=1c30b6084950e77d, spanId=edf9f53af4fb68dd, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=e09c7105eb9c3db1, timestamp=1517222933876000, }
{traceId=1c30b6084950e77d, spanId=edf9f53af4fb68dd, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=e09c7105eb9c3db1, timestamp=1517222933881000, }
{traceId=1c30b6084950e77d, spanId=edf9f53af4fb68dd, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=e09c7105eb9c3db1, timestamp=1517222933883000, }
