
=== TestCase4 case4\fail2\basic2 Fail execution 2 ===
{traceId=f689a93e71ff8dde, spanId=f689a93e71ff8dde, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517209806606000, }
{traceId=f689a93e71ff8dde, spanId=2c1bb9d68797ae61, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=f689a93e71ff8dde, timestamp=1517209806610000, }
{traceId=f689a93e71ff8dde, spanId=2c1bb9d68797ae61, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=f689a93e71ff8dde, timestamp=1517209806617000, }
{traceId=f689a93e71ff8dde, spanId=2c1bb9d68797ae61, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=f689a93e71ff8dde, timestamp=1517209806622000, }
{traceId=f689a93e71ff8dde, spanId=2c1bb9d68797ae61, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=f689a93e71ff8dde, timestamp=1517209806629000, }
{traceId=f689a93e71ff8dde, spanId=f68a5baee71ac127, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=f689a93e71ff8dde, timestamp=1517209806631000, }
{traceId=f689a93e71ff8dde, spanId=f68a5baee71ac127, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=f689a93e71ff8dde, timestamp=1517209806638000, }
{traceId=f689a93e71ff8dde, spanId=147b8af268d2907e, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=f68a5baee71ac127, timestamp=1517209806641000, }
{traceId=f689a93e71ff8dde, spanId=147b8af268d2907e, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=f68a5baee71ac127, timestamp=1517209806648000, }
{traceId=f689a93e71ff8dde, spanId=147b8af268d2907e, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=f68a5baee71ac127, timestamp=1517209806653000, }
{traceId=f689a93e71ff8dde, spanId=147b8af268d2907e, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=f68a5baee71ac127, timestamp=1517209806660000, }
