
=== TestCase5 case5\success\basic2 Success execution 1 ===
{traceId=b05d5b612236b54f, spanId=b05d5b612236b54f, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517223503491000, }
{traceId=b05d5b612236b54f, spanId=4b85c2312de87898, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b05d5b612236b54f, timestamp=1517223503498000, }
{traceId=b05d5b612236b54f, spanId=4b85c2312de87898, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=b05d5b612236b54f, timestamp=1517223503500500, }
{traceId=b05d5b612236b54f, spanId=4b85c2312de87898, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=b05d5b612236b54f, timestamp=1517223503505500, }
{traceId=b05d5b612236b54f, spanId=4b85c2312de87898, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=b05d5b612236b54f, timestamp=1517223503508000, }
{traceId=b05d5b612236b54f, spanId=035497f6f27ab985, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b05d5b612236b54f, timestamp=1517223503510000, }
{traceId=b05d5b612236b54f, spanId=035497f6f27ab985, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=b05d5b612236b54f, timestamp=1517223503512500, }
{traceId=b05d5b612236b54f, spanId=ae6f86e46870bc58, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=035497f6f27ab985, timestamp=1517223503516500, }
{traceId=b05d5b612236b54f, spanId=ae6f86e46870bc58, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=035497f6f27ab985, timestamp=1517223503518500, }
{traceId=b05d5b612236b54f, spanId=ae6f86e46870bc58, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=035497f6f27ab985, timestamp=1517223503526500, }
{traceId=b05d5b612236b54f, spanId=ae6f86e46870bc58, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=035497f6f27ab985, timestamp=1517223503528500, }
