
=== TestCase6 case6\fail1\basic2 Fail execution 1 ===
{traceId=7ebd4719e7fcb48a, spanId=7ebd4719e7fcb48a, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517210834764000, }
{traceId=7ebd4719e7fcb48a, spanId=5bd66b3d8ad249da, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=7ebd4719e7fcb48a, timestamp=1517210834768000, }
{traceId=7ebd4719e7fcb48a, spanId=5bd66b3d8ad249da, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=7ebd4719e7fcb48a, timestamp=1517210834774000, }
{traceId=7ebd4719e7fcb48a, spanId=5bd66b3d8ad249da, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=7ebd4719e7fcb48a, timestamp=1517210834779000, }
{traceId=7ebd4719e7fcb48a, spanId=5bd66b3d8ad249da, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=7ebd4719e7fcb48a, timestamp=1517210834785000, }
{traceId=7ebd4719e7fcb48a, spanId=8798d41a29c4bfbc, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=7ebd4719e7fcb48a, timestamp=1517210834787000, }
{traceId=7ebd4719e7fcb48a, spanId=8798d41a29c4bfbc, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=7ebd4719e7fcb48a, timestamp=1517210834793500, }
{traceId=7ebd4719e7fcb48a, spanId=941e793a1ec3703a, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=8798d41a29c4bfbc, timestamp=1517210834796500, }
{traceId=7ebd4719e7fcb48a, spanId=941e793a1ec3703a, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=8798d41a29c4bfbc, timestamp=1517210834804000, }
{traceId=7ebd4719e7fcb48a, spanId=941e793a1ec3703a, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=8798d41a29c4bfbc, timestamp=1517210834809000, }
{traceId=7ebd4719e7fcb48a, spanId=941e793a1ec3703a, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=8798d41a29c4bfbc, timestamp=1517210834816500, }
{traceId=7ebd4719e7fcb48a, spanId=ef57849786b8a642, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=8798d41a29c4bfbc, timestamp=1517210834818500, }
{traceId=7ebd4719e7fcb48a, spanId=ef57849786b8a642, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=8798d41a29c4bfbc, timestamp=1517210834825000, }
{traceId=7ebd4719e7fcb48a, spanId=ef57849786b8a642, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=8798d41a29c4bfbc, timestamp=1517210834830000, }
{traceId=7ebd4719e7fcb48a, spanId=ef57849786b8a642, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=8798d41a29c4bfbc, timestamp=1517210834836500, }
{traceId=7ebd4719e7fcb48a, spanId=8798d41a29c4bfbc, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=7ebd4719e7fcb48a, timestamp=1517210834842500, }
{traceId=7ebd4719e7fcb48a, spanId=8798d41a29c4bfbc, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=7ebd4719e7fcb48a, timestamp=1517210834849000, }
