
=== TestCase6 case6\success\basic2 Success execution 1 ===
{traceId=52c7d792ba9c6ccf, spanId=52c7d792ba9c6ccf, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517223786392000, }
{traceId=52c7d792ba9c6ccf, spanId=740c91551a17f7b0, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=52c7d792ba9c6ccf, timestamp=1517223786396000, }
{traceId=52c7d792ba9c6ccf, spanId=740c91551a17f7b0, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=52c7d792ba9c6ccf, timestamp=1517223786398500, }
{traceId=52c7d792ba9c6ccf, spanId=740c91551a17f7b0, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=52c7d792ba9c6ccf, timestamp=1517223786402500, }
{traceId=52c7d792ba9c6ccf, spanId=740c91551a17f7b0, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=52c7d792ba9c6ccf, timestamp=1517223786405000, }
{traceId=52c7d792ba9c6ccf, spanId=77c7804cff408ee3, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=52c7d792ba9c6ccf, timestamp=1517223786406000, }
{traceId=52c7d792ba9c6ccf, spanId=77c7804cff408ee3, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=52c7d792ba9c6ccf, timestamp=1517223786408000, }
{traceId=52c7d792ba9c6ccf, spanId=85707d69c53bafa8, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=77c7804cff408ee3, timestamp=1517223786411000, }
{traceId=52c7d792ba9c6ccf, spanId=85707d69c53bafa8, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=77c7804cff408ee3, timestamp=1517223786412500, }
{traceId=52c7d792ba9c6ccf, spanId=85707d69c53bafa8, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=77c7804cff408ee3, timestamp=1517223786418500, }
{traceId=52c7d792ba9c6ccf, spanId=85707d69c53bafa8, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=77c7804cff408ee3, timestamp=1517223786420000, }
{traceId=52c7d792ba9c6ccf, spanId=562ee7ed17959bc9, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=77c7804cff408ee3, timestamp=1517223786422000, }
{traceId=52c7d792ba9c6ccf, spanId=562ee7ed17959bc9, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=77c7804cff408ee3, timestamp=1517223786424000, }
