
=== TestCase7 case7\fail1\basic2 Fail execution 1 ===
{traceId=a1a9c69b2072f55a, spanId=a1a9c69b2072f55a, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517211244718000, }
{traceId=a1a9c69b2072f55a, spanId=2ef1586d42ab91e7, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=a1a9c69b2072f55a, timestamp=1517211244722000, }
{traceId=a1a9c69b2072f55a, spanId=2ef1586d42ab91e7, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=a1a9c69b2072f55a, timestamp=1517211244728000, }
{traceId=a1a9c69b2072f55a, spanId=2ef1586d42ab91e7, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=a1a9c69b2072f55a, timestamp=1517211244732000, }
{traceId=a1a9c69b2072f55a, spanId=2ef1586d42ab91e7, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=a1a9c69b2072f55a, timestamp=1517211244738000, }
{traceId=a1a9c69b2072f55a, spanId=aee21b02b9f3b48d, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=a1a9c69b2072f55a, timestamp=1517211244740000, }
{traceId=a1a9c69b2072f55a, spanId=aee21b02b9f3b48d, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=a1a9c69b2072f55a, timestamp=1517211244747500, }
{traceId=a1a9c69b2072f55a, spanId=c9e1cf1a4ff43476, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=aee21b02b9f3b48d, timestamp=1517211244750500, }
{traceId=a1a9c69b2072f55a, spanId=c9e1cf1a4ff43476, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=aee21b02b9f3b48d, timestamp=1517211244758000, }
{traceId=a1a9c69b2072f55a, spanId=c9e1cf1a4ff43476, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=aee21b02b9f3b48d, timestamp=1517211244762000, }
{traceId=a1a9c69b2072f55a, spanId=c9e1cf1a4ff43476, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=aee21b02b9f3b48d, timestamp=1517211244769500, }
