
=== TestCase8 case8\fail2\basic2 Fail execution 2 ===
{traceId=83b6ff8b6771316a, spanId=83b6ff8b6771316a, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517212101075000, }
{traceId=83b6ff8b6771316a, spanId=af2183b79929808e, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=83b6ff8b6771316a, timestamp=1517212101079000, }
{traceId=83b6ff8b6771316a, spanId=af2183b79929808e, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=83b6ff8b6771316a, timestamp=1517212101085000, }
{traceId=83b6ff8b6771316a, spanId=af2183b79929808e, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=83b6ff8b6771316a, timestamp=1517212101089000, }
{traceId=83b6ff8b6771316a, spanId=af2183b79929808e, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=83b6ff8b6771316a, timestamp=1517212101095000, }
{traceId=83b6ff8b6771316a, spanId=49c59ab73def3def, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=83b6ff8b6771316a, timestamp=1517212101096000, }
{traceId=83b6ff8b6771316a, spanId=49c59ab73def3def, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=83b6ff8b6771316a, timestamp=1517212101103000, }
{traceId=83b6ff8b6771316a, spanId=46eaa0d1bf8e2b76, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=49c59ab73def3def, timestamp=1517212101106000, }
{traceId=83b6ff8b6771316a, spanId=46eaa0d1bf8e2b76, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=49c59ab73def3def, timestamp=1517212101115000, }
{traceId=83b6ff8b6771316a, spanId=46eaa0d1bf8e2b76, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=49c59ab73def3def, timestamp=1517212101120000, }
{traceId=83b6ff8b6771316a, spanId=46eaa0d1bf8e2b76, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=49c59ab73def3def, timestamp=1517212101129000, }
{traceId=83b6ff8b6771316a, spanId=1438133ffa77256c, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=49c59ab73def3def, timestamp=1517212101131000, }
{traceId=83b6ff8b6771316a, spanId=1438133ffa77256c, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=49c59ab73def3def, timestamp=1517212101137000, }
{traceId=83b6ff8b6771316a, spanId=1438133ffa77256c, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=49c59ab73def3def, timestamp=1517212101141000, }
{traceId=83b6ff8b6771316a, spanId=1438133ffa77256c, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=49c59ab73def3def, timestamp=1517212101147000, }
{traceId=83b6ff8b6771316a, spanId=49c59ab73def3def, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=83b6ff8b6771316a, timestamp=1517212101153000, }
{traceId=83b6ff8b6771316a, spanId=49c59ab73def3def, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=83b6ff8b6771316a, timestamp=1517212101160000, }
{traceId=83b6ff8b6771316a, spanId=d1e979e82d4fa046, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=83b6ff8b6771316a, timestamp=1517212101162000, }
{traceId=83b6ff8b6771316a, spanId=d1e979e82d4fa046, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=83b6ff8b6771316a, timestamp=1517212101169500, }
{traceId=83b6ff8b6771316a, spanId=7d60a5afeefe2f8d, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=d1e979e82d4fa046, timestamp=1517212101173500, }
