
=== TestCase2 case2\success\basic2 Success execution 1 ===
{traceId=1fab4d5ad6041573, spanId=1fab4d5ad6041573, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516851729903000, }
{traceId=1fab4d5ad6041573, spanId=6b8ff3cb0daa6630, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1fab4d5ad6041573, timestamp=1516851729907000, }
{traceId=1fab4d5ad6041573, spanId=6b8ff3cb0daa6630, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=1fab4d5ad6041573, timestamp=1516851729909000, }
{traceId=1fab4d5ad6041573, spanId=6b8ff3cb0daa6630, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=1fab4d5ad6041573, timestamp=1516851729913000, }
{traceId=1fab4d5ad6041573, spanId=6b8ff3cb0daa6630, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=1fab4d5ad6041573, timestamp=1516851729915000, }
{traceId=1fab4d5ad6041573, spanId=853dbc1b33512b85, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1fab4d5ad6041573, timestamp=1516851729917000, }
{traceId=1fab4d5ad6041573, spanId=853dbc1b33512b85, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=1fab4d5ad6041573, timestamp=1516851729919000, }
{traceId=1fab4d5ad6041573, spanId=92aeedac3b4c6338, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=853dbc1b33512b85, timestamp=1516851729923000, }
{traceId=1fab4d5ad6041573, spanId=92aeedac3b4c6338, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=853dbc1b33512b85, timestamp=1516851729925500, }
{traceId=1fab4d5ad6041573, spanId=92aeedac3b4c6338, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=853dbc1b33512b85, timestamp=1516851729933500, }
{traceId=1fab4d5ad6041573, spanId=92aeedac3b4c6338, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=853dbc1b33512b85, timestamp=1516851729936000, }
{traceId=1fab4d5ad6041573, spanId=90457bbf9b8a9de1, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=853dbc1b33512b85, timestamp=1516851729938000, }
{traceId=1fab4d5ad6041573, spanId=90457bbf9b8a9de1, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=853dbc1b33512b85, timestamp=1516851729940000, }
{traceId=1fab4d5ad6041573, spanId=90457bbf9b8a9de1, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=853dbc1b33512b85, timestamp=1516851729946000, }
{traceId=1fab4d5ad6041573, spanId=90457bbf9b8a9de1, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=853dbc1b33512b85, timestamp=1516851729948000, }
{traceId=1fab4d5ad6041573, spanId=853dbc1b33512b85, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=1fab4d5ad6041573, timestamp=1516851729954000, }
{traceId=1fab4d5ad6041573, spanId=853dbc1b33512b85, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=1fab4d5ad6041573, timestamp=1516851729956000, }
{traceId=1fab4d5ad6041573, spanId=162ec3f80c0a0496, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1fab4d5ad6041573, timestamp=1516851729957000, }
{traceId=1fab4d5ad6041573, spanId=162ec3f80c0a0496, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=1fab4d5ad6041573, timestamp=1516851729959500, }
{traceId=1fab4d5ad6041573, spanId=dd736b9aa08a6776, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=162ec3f80c0a0496, timestamp=1516851729961500, }
