
=== TestCase3 case3\fail1\basic2 Fail execution 1 ===
{traceId=6d4ecd88c2bbeadf, spanId=6d4ecd88c2bbeadf, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516847244305000, }
{traceId=6d4ecd88c2bbeadf, spanId=e04dd382c9c00f57, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=6d4ecd88c2bbeadf, timestamp=1516847244311000, }
{traceId=6d4ecd88c2bbeadf, spanId=e04dd382c9c00f57, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=6d4ecd88c2bbeadf, timestamp=1516847244313000, }
{traceId=6d4ecd88c2bbeadf, spanId=e04dd382c9c00f57, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=6d4ecd88c2bbeadf, timestamp=1516847244318000, }
{traceId=6d4ecd88c2bbeadf, spanId=e04dd382c9c00f57, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=6d4ecd88c2bbeadf, timestamp=1516847244320000, }
{traceId=6d4ecd88c2bbeadf, spanId=96a696ed148a4554, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=6d4ecd88c2bbeadf, timestamp=1516847244322000, }
{traceId=6d4ecd88c2bbeadf, spanId=96a696ed148a4554, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=6d4ecd88c2bbeadf, timestamp=1516847244324500, }
{traceId=6d4ecd88c2bbeadf, spanId=c5604f087a2d027d, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=96a696ed148a4554, timestamp=1516847244328500, }
{traceId=6d4ecd88c2bbeadf, spanId=c5604f087a2d027d, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=96a696ed148a4554, timestamp=1516847244331500, }
{traceId=6d4ecd88c2bbeadf, spanId=c5604f087a2d027d, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=96a696ed148a4554, timestamp=1516847244340500, }
{traceId=6d4ecd88c2bbeadf, spanId=c5604f087a2d027d, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=96a696ed148a4554, timestamp=1516847244343500, }
