
=== TestCase5 case5\fail2\basic2 Fail execution 2 ===
{traceId=68c2bef86762051c, spanId=68c2bef86762051c, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516848838246000, }
{traceId=68c2bef86762051c, spanId=e413fa4c7a34a2a2, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=68c2bef86762051c, timestamp=1516848838250000, }
{traceId=68c2bef86762051c, spanId=e413fa4c7a34a2a2, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=68c2bef86762051c, timestamp=1516848838252000, }
{traceId=68c2bef86762051c, spanId=e413fa4c7a34a2a2, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=68c2bef86762051c, timestamp=1516848838257000, }
{traceId=68c2bef86762051c, spanId=e413fa4c7a34a2a2, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=68c2bef86762051c, timestamp=1516848838259000, }
{traceId=68c2bef86762051c, spanId=b6229fe7eb3426a1, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=68c2bef86762051c, timestamp=1516848838260000, }
{traceId=68c2bef86762051c, spanId=b6229fe7eb3426a1, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=68c2bef86762051c, timestamp=1516848838262000, }
{traceId=68c2bef86762051c, spanId=62e90a3f7e7acfe2, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=b6229fe7eb3426a1, timestamp=1516848838265000, }
{traceId=68c2bef86762051c, spanId=62e90a3f7e7acfe2, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=b6229fe7eb3426a1, timestamp=1516848838267500, }
{traceId=68c2bef86762051c, spanId=62e90a3f7e7acfe2, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=b6229fe7eb3426a1, timestamp=1516848838275500, }
{traceId=68c2bef86762051c, spanId=62e90a3f7e7acfe2, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=b6229fe7eb3426a1, timestamp=1516848838278000, }
