
=== TestCase6 case6\fail2\basic2 Fail execution 2 ===
{traceId=b88bb5f46fccf7b2, spanId=b88bb5f46fccf7b2, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516849345762000, }
{traceId=b88bb5f46fccf7b2, spanId=9dc43864a9cc1450, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b88bb5f46fccf7b2, timestamp=1516849345766000, }
{traceId=b88bb5f46fccf7b2, spanId=9dc43864a9cc1450, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=b88bb5f46fccf7b2, timestamp=1516849345768000, }
{traceId=b88bb5f46fccf7b2, spanId=9dc43864a9cc1450, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=b88bb5f46fccf7b2, timestamp=1516849345772000, }
{traceId=b88bb5f46fccf7b2, spanId=9dc43864a9cc1450, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=b88bb5f46fccf7b2, timestamp=1516849345774000, }
{traceId=b88bb5f46fccf7b2, spanId=7b4cb85af3bdf2ca, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b88bb5f46fccf7b2, timestamp=1516849345775000, }
{traceId=b88bb5f46fccf7b2, spanId=7b4cb85af3bdf2ca, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=b88bb5f46fccf7b2, timestamp=1516849345778000, }
{traceId=b88bb5f46fccf7b2, spanId=1e5f1ebb99e83270, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=7b4cb85af3bdf2ca, timestamp=1516849345781000, }
{traceId=b88bb5f46fccf7b2, spanId=1e5f1ebb99e83270, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=7b4cb85af3bdf2ca, timestamp=1516849345783500, }
{traceId=b88bb5f46fccf7b2, spanId=1e5f1ebb99e83270, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=7b4cb85af3bdf2ca, timestamp=1516849345791500, }
{traceId=b88bb5f46fccf7b2, spanId=1e5f1ebb99e83270, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=7b4cb85af3bdf2ca, timestamp=1516849345794000, }
