
=== TestCase7 case7\success\basic2 Success execution 1 ===
{traceId=b5cbb1edcb45221c, spanId=b5cbb1edcb45221c, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516855687385000, }
{traceId=b5cbb1edcb45221c, spanId=73ee73a07475844e, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b5cbb1edcb45221c, timestamp=1516855687389000, }
{traceId=b5cbb1edcb45221c, spanId=73ee73a07475844e, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=b5cbb1edcb45221c, timestamp=1516855687391000, }
{traceId=b5cbb1edcb45221c, spanId=73ee73a07475844e, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=b5cbb1edcb45221c, timestamp=1516855687395000, }
{traceId=b5cbb1edcb45221c, spanId=73ee73a07475844e, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=b5cbb1edcb45221c, timestamp=1516855687397000, }
{traceId=b5cbb1edcb45221c, spanId=1946d0ea6044993e, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=b5cbb1edcb45221c, timestamp=1516855687398000, }
{traceId=b5cbb1edcb45221c, spanId=1946d0ea6044993e, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=b5cbb1edcb45221c, timestamp=1516855687400000, }
{traceId=b5cbb1edcb45221c, spanId=18cb54423a6bae11, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=1946d0ea6044993e, timestamp=1516855687403000, }
{traceId=b5cbb1edcb45221c, spanId=18cb54423a6bae11, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=1946d0ea6044993e, timestamp=1516855687405000, }
{traceId=b5cbb1edcb45221c, spanId=18cb54423a6bae11, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=1946d0ea6044993e, timestamp=1516855687411000, }
{traceId=b5cbb1edcb45221c, spanId=18cb54423a6bae11, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=1946d0ea6044993e, timestamp=1516855687413000, }
{traceId=b5cbb1edcb45221c, spanId=c591f790823dfc2b, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=1946d0ea6044993e, timestamp=1516855687415000, }
{traceId=b5cbb1edcb45221c, spanId=c591f790823dfc2b, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=1946d0ea6044993e, timestamp=1516855687417000, }
{traceId=b5cbb1edcb45221c, spanId=c591f790823dfc2b, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=1946d0ea6044993e, timestamp=1516855687423000, }
