
=== TestCase8 case8\success\basic2 Success execution 1 ===
{traceId=14965b382b00c4b5, spanId=14965b382b00c4b5, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516856379356000, }
{traceId=14965b382b00c4b5, spanId=8f30fd72325498a0, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=14965b382b00c4b5, timestamp=1516856379359000, }
{traceId=14965b382b00c4b5, spanId=8f30fd72325498a0, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=14965b382b00c4b5, timestamp=1516856379360500, }
{traceId=14965b382b00c4b5, spanId=8f30fd72325498a0, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=14965b382b00c4b5, timestamp=1516856379364500, }
{traceId=14965b382b00c4b5, spanId=8f30fd72325498a0, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=14965b382b00c4b5, timestamp=1516856379366000, }
{traceId=14965b382b00c4b5, spanId=5d2617d7199009b3, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=14965b382b00c4b5, timestamp=1516856379368000, }
{traceId=14965b382b00c4b5, spanId=5d2617d7199009b3, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=14965b382b00c4b5, timestamp=1516856379369500, }
{traceId=14965b382b00c4b5, spanId=14977b6b81525346, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=5d2617d7199009b3, timestamp=1516856379372500, }
{traceId=14965b382b00c4b5, spanId=14977b6b81525346, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=5d2617d7199009b3, timestamp=1516856379374500, }
{traceId=14965b382b00c4b5, spanId=14977b6b81525346, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=5d2617d7199009b3, timestamp=1516856379380500, }
{traceId=14965b382b00c4b5, spanId=14977b6b81525346, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=5d2617d7199009b3, timestamp=1516856379382500, }
