
=== TestCase9 case9\fail1\basic1 Fail execution 1 ===
{traceId=e6234ea447e18597, spanId=e6234ea447e18597, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1516855913635000, }
{traceId=e6234ea447e18597, spanId=e789c4018a8f2f17, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e6234ea447e18597, timestamp=1516855913637000, }
{traceId=e6234ea447e18597, spanId=e789c4018a8f2f17, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=e6234ea447e18597, timestamp=1516855913639000, }
{traceId=e6234ea447e18597, spanId=f6f17a8ebb7a76ab, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=e789c4018a8f2f17, timestamp=1516855913640000, }
{traceId=e6234ea447e18597, spanId=f6f17a8ebb7a76ab, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=e789c4018a8f2f17, timestamp=1516855913642000, }
{traceId=e6234ea447e18597, spanId=cb87f3b18f47a9e1, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=f6f17a8ebb7a76ab, timestamp=1516855913643000, }
{traceId=e6234ea447e18597, spanId=cb87f3b18f47a9e1, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=f6f17a8ebb7a76ab, timestamp=1516855913644500, }
{traceId=e6234ea447e18597, spanId=cb87f3b18f47a9e1, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=f6f17a8ebb7a76ab, timestamp=1516855913647500, }
{traceId=e6234ea447e18597, spanId=cb87f3b18f47a9e1, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=f6f17a8ebb7a76ab, timestamp=1516855913649000, }
{traceId=e6234ea447e18597, spanId=f6f17a8ebb7a76ab, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=e789c4018a8f2f17, timestamp=1516855913650000, }
{traceId=e6234ea447e18597, spanId=f6f17a8ebb7a76ab, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=e789c4018a8f2f17, timestamp=1516855913652000, }
{traceId=e6234ea447e18597, spanId=e789c4018a8f2f17, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=e6234ea447e18597, timestamp=1516855913653000, }
{traceId=e6234ea447e18597, spanId=e789c4018a8f2f17, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=e6234ea447e18597, timestamp=1516855913655000, }
{traceId=e6234ea447e18597, spanId=9f127995cf4ab9a5, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e6234ea447e18597, timestamp=1516855913656000, }
{traceId=e6234ea447e18597, spanId=9f127995cf4ab9a5, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=e6234ea447e18597, timestamp=1516855913658000, }
{traceId=e6234ea447e18597, spanId=bbd93915ec980f5c, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=9f127995cf4ab9a5, timestamp=1516855913659000, }
{traceId=e6234ea447e18597, spanId=bbd93915ec980f5c, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=9f127995cf4ab9a5, timestamp=1516855913661000, }
{traceId=e6234ea447e18597, spanId=ba3ba1c569f4860a, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=bbd93915ec980f5c, timestamp=1516855913662000, }
{traceId=e6234ea447e18597, spanId=ba3ba1c569f4860a, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=bbd93915ec980f5c, timestamp=1516855913664000, }
{traceId=e6234ea447e18597, spanId=ba3ba1c569f4860a, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=bbd93915ec980f5c, timestamp=1516855913667000, }
{traceId=e6234ea447e18597, spanId=ba3ba1c569f4860a, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=bbd93915ec980f5c, timestamp=1516855913669000, }
{traceId=e6234ea447e18597, spanId=bbd93915ec980f5c, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=9f127995cf4ab9a5, timestamp=1516855913670000, }
{traceId=e6234ea447e18597, spanId=bbd93915ec980f5c, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":7,"ts-station-service":4}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=9f127995cf4ab9a5, timestamp=1516855913672000, }
{traceId=e6234ea447e18597, spanId=9f127995cf4ab9a5, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":8,"ts-station-service":4}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=e6234ea447e18597, timestamp=1516855913673000, }
{traceId=e6234ea447e18597, spanId=9f127995cf4ab9a5, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":5,"ts-ticketinfo-service":8,"ts-station-service":4}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=e6234ea447e18597, timestamp=1516855913675000, }
{traceId=e6234ea447e18597, spanId=e28a1a42fe985fc3, hostName=ts-travel2-service, destName=ts-route-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-station-service":4}, dest=ts-route-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e6234ea447e18597, timestamp=1516855913678000, }
