
=== TestCase10 case10\success\basic-2 Success execution 1 ===
{traceId=44bd558a9fe74dae, spanId=44bd558a9fe74dae, hostName=ts-click-twice, srcName=null, src=null, host=ts-click-twice, clock={"ts-click-twice":1}, event=ts-click-twice.ClickController.clickTwice, type=sr, parentId=, timestamp=1516935410474000, }
{traceId=44bd558a9fe74dae, spanId=73f1ced08cf7d5cb, hostName=ts-click-twice, host=ts-click-twice, clock={"ts-click-twice":2}, event=ts-click-twice.AsyncTask.sendAsyncClickTwice, type=async, parentId=44bd558a9fe74dae, timestamp=1516935410477000, }
{traceId=44bd558a9fe74dae, spanId=9ace0d0cf70157f7, hostName=ts-click-twice, destName=ts-preserve-service, host=ts-click-twice, clock={"ts-click-twice":3}, dest=ts-preserve-service, event=ts-click-twice.AsyncTask.sendAsyncClickTwice, type=cs, parentId=73f1ced08cf7d5cb, timestamp=1516935410478000, }
{traceId=44bd558a9fe74dae, spanId=9ace0d0cf70157f7, hostName=ts-preserve-service, srcName=ts-click-twice, src=ts-click-twice, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-preserve-service":1}, event=ts-preserve-service.PreserveController.preserve, type=sr, parentId=73f1ced08cf7d5cb, timestamp=1516935410481000, }
{traceId=44bd558a9fe74dae, spanId=e2b996b67f5267be, hostName=ts-preserve-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-preserve-service":2}, event=ts-preserve-service.PreserveServiceImpl.preserve, type=async, parentId=9ace0d0cf70157f7, timestamp=1516935410484000, }
{traceId=44bd558a9fe74dae, spanId=5e23888e93d901ed, hostName=ts-preserve-service, destName=ts-sso-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-preserve-service":3}, dest=ts-sso-service, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cs, parentId=e2b996b67f5267be, timestamp=1516935410633000, }
{traceId=44bd558a9fe74dae, spanId=5e23888e93d901ed, hostName=ts-sso-service, srcName=ts-preserve-service, src=ts-preserve-service, host=ts-sso-service, clock={"ts-click-twice":3,"ts-sso-service":1,"ts-preserve-service":3}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=e2b996b67f5267be, timestamp=1516935410634500, }
{traceId=44bd558a9fe74dae, spanId=5e23888e93d901ed, hostName=ts-sso-service, destName=ts-preserve-service, host=ts-sso-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":3}, dest=ts-preserve-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=e2b996b67f5267be, timestamp=1516935410638500, }
{traceId=44bd558a9fe74dae, spanId=5e23888e93d901ed, hostName=ts-preserve-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":4}, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cr, parentId=e2b996b67f5267be, timestamp=1516935410640000, }
{traceId=44bd558a9fe74dae, spanId=2e46a1b25b82e364, hostName=ts-preserve-service, destName=ts-security-service, host=ts-preserve-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":5}, dest=ts-security-service, event=ts-preserve-service.PreserveServiceImpl.preserve, type=cs, parentId=e2b996b67f5267be, timestamp=1516935410642000, }
{traceId=44bd558a9fe74dae, spanId=2e46a1b25b82e364, hostName=ts-security-service, srcName=ts-preserve-service, src=ts-preserve-service, host=ts-security-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":5,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=e2b996b67f5267be, timestamp=1516935410644000, }
{traceId=44bd558a9fe74dae, spanId=e7f07aec19494f1b, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-click-twice":3,"ts-sso-service":2,"ts-preserve-service":5,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=2e46a1b25b82e364, timestamp=1516935410647000, }
{traceId=44bd558a9fe74dae, spanId=e7f07aec19494f1b, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-click-twice":3,"ts-order-service":1,"ts-sso-service":2,"ts-preserve-service":5,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=2e46a1b25b82e364, timestamp=1516935410649000, }
{traceId=44bd558a9fe74dae, spanId=e7f07aec19494f1b, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-click-twice":3,"ts-order-service":2,"ts-sso-service":2,"ts-preserve-service":5,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=2e46a1b25b82e364, timestamp=1516935410654000, }
