
=== TestCase8 case8\fail1\basic-1 Fail execution 1 ===
{traceId=732e6a06600f65b5, spanId=732e6a06600f65b5, hostName=ts-travel-service, srcName=null, src=null, host=ts-travel-service, clock={"ts-travel-service":1}, event=ts-travel-service.TravelController.query, type=sr, parentId=, timestamp=1516944720276000, }
{traceId=732e6a06600f65b5, spanId=ac498fedbadf80ff, hostName=ts-travel-service, destName=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-travel-service":2}, dest=ts-ticketinfo-service, event=ts-travel-service.TravelController.query, type=cs, parentId=732e6a06600f65b5, timestamp=1516944720278000, }
{traceId=732e6a06600f65b5, spanId=ac498fedbadf80ff, hostName=ts-ticketinfo-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-ticketinfo-service":1,"ts-travel-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=732e6a06600f65b5, timestamp=1516944720280500, }
{traceId=732e6a06600f65b5, spanId=34bffff58658870b, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-ticketinfo-service":2,"ts-travel-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=ac498fedbadf80ff, timestamp=1516944720282500, }
{traceId=732e6a06600f65b5, spanId=34bffff58658870b, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-ticketinfo-service":2,"ts-travel-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=ac498fedbadf80ff, timestamp=1516944720284500, }
{traceId=732e6a06600f65b5, spanId=fe1dcddade9e14aa, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-ticketinfo-service":2,"ts-travel-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=34bffff58658870b, timestamp=1516944720286500, }
{traceId=732e6a06600f65b5, spanId=fe1dcddade9e14aa, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=34bffff58658870b, timestamp=1516944720288500, }
{traceId=732e6a06600f65b5, spanId=fe1dcddade9e14aa, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=34bffff58658870b, timestamp=1516944720291500, }
{traceId=732e6a06600f65b5, spanId=fe1dcddade9e14aa, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=34bffff58658870b, timestamp=1516944720293500, }
{traceId=732e6a06600f65b5, spanId=34bffff58658870b, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":2,"ts-travel-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=ac498fedbadf80ff, timestamp=1516944720294500, }
{traceId=732e6a06600f65b5, spanId=34bffff58658870b, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":3,"ts-travel-service":2,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=ac498fedbadf80ff, timestamp=1516944720296500, }
{traceId=732e6a06600f65b5, spanId=ac498fedbadf80ff, hostName=ts-ticketinfo-service, destName=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":4,"ts-travel-service":2,"ts-station-service":2}, dest=ts-travel-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=732e6a06600f65b5, timestamp=1516944720297500, }
