
=== TestCase1 case1\success\basic-2 Success execution 1 ===
{traceId=a6a41d7407f0d583, spanId=a6a41d7407f0d583, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517219977017000, }
{traceId=a6a41d7407f0d583, spanId=6d50bc6b07d5d553, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=a6a41d7407f0d583, timestamp=1517219977225000, }
{traceId=a6a41d7407f0d583, spanId=6d50bc6b07d5d553, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=a6a41d7407f0d583, timestamp=1517219977242500, }
{traceId=a6a41d7407f0d583, spanId=6d50bc6b07d5d553, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=a6a41d7407f0d583, timestamp=1517219977252500, }
{traceId=a6a41d7407f0d583, spanId=6d50bc6b07d5d553, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=a6a41d7407f0d583, timestamp=1517219977270000, }
{traceId=a6a41d7407f0d583, spanId=a28018f440e04c11, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=a6a41d7407f0d583, timestamp=1517219977325000, }
{traceId=a6a41d7407f0d583, spanId=a28018f440e04c11, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=a6a41d7407f0d583, timestamp=1517219977446000, }
{traceId=a6a41d7407f0d583, spanId=b8fe07acc698eb13, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=a28018f440e04c11, timestamp=1517219977666000, }
{traceId=a6a41d7407f0d583, spanId=b8fe07acc698eb13, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=a28018f440e04c11, timestamp=1517219977782000, }
{traceId=a6a41d7407f0d583, spanId=b8fe07acc698eb13, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=a28018f440e04c11, timestamp=1517219978013000, }
{traceId=a6a41d7407f0d583, spanId=b8fe07acc698eb13, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=a28018f440e04c11, timestamp=1517219978129000, }
{traceId=a6a41d7407f0d583, spanId=54c10b15638359b0, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=a28018f440e04c11, timestamp=1517219978163000, }
{traceId=a6a41d7407f0d583, spanId=54c10b15638359b0, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=a28018f440e04c11, timestamp=1517219978166000, }
{traceId=a6a41d7407f0d583, spanId=54c10b15638359b0, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=a28018f440e04c11, timestamp=1517219978183000, }
{traceId=a6a41d7407f0d583, spanId=54c10b15638359b0, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=a28018f440e04c11, timestamp=1517219978186000, }
{traceId=a6a41d7407f0d583, spanId=a28018f440e04c11, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=a6a41d7407f0d583, timestamp=1517219978240000, }
{traceId=a6a41d7407f0d583, spanId=a28018f440e04c11, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=a6a41d7407f0d583, timestamp=1517219978361000, }
{traceId=a6a41d7407f0d583, spanId=ce06c64b00300283, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=a6a41d7407f0d583, timestamp=1517219978378000, }
{traceId=a6a41d7407f0d583, spanId=ce06c64b00300283, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=a6a41d7407f0d583, timestamp=1517219978386000, }
{traceId=a6a41d7407f0d583, spanId=e257188fd3a1db24, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=ce06c64b00300283, timestamp=1517219978399000, }
