
=== TestCase10 case10\fail2\basic-2 Fail execution 2 ===
{traceId=d13096a8da125126, spanId=d13096a8da125126, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517215068983000, }
{traceId=d13096a8da125126, spanId=efcb6fe1104f3d53, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d13096a8da125126, timestamp=1517215068989000, }
{traceId=d13096a8da125126, spanId=efcb6fe1104f3d53, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=d13096a8da125126, timestamp=1517215069000000, }
{traceId=d13096a8da125126, spanId=efcb6fe1104f3d53, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=d13096a8da125126, timestamp=1517215069006000, }
{traceId=d13096a8da125126, spanId=efcb6fe1104f3d53, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=d13096a8da125126, timestamp=1517215069017000, }
{traceId=d13096a8da125126, spanId=26aa6f0a72f73070, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=d13096a8da125126, timestamp=1517215069019000, }
{traceId=d13096a8da125126, spanId=26aa6f0a72f73070, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=d13096a8da125126, timestamp=1517215069027500, }
{traceId=d13096a8da125126, spanId=488f93b3411bd691, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=26aa6f0a72f73070, timestamp=1517215069030500, }
{traceId=d13096a8da125126, spanId=488f93b3411bd691, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=26aa6f0a72f73070, timestamp=1517215069044000, }
{traceId=d13096a8da125126, spanId=488f93b3411bd691, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=26aa6f0a72f73070, timestamp=1517215069050000, }
{traceId=d13096a8da125126, spanId=488f93b3411bd691, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=26aa6f0a72f73070, timestamp=1517215069063500, }
