
=== TestCase2 case2\fail1\basic-1 Fail execution 1 ===
{traceId=0b2e012b138911b6, spanId=0b2e012b138911b6, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517209215532000, }
{traceId=0b2e012b138911b6, spanId=0d1bcd94af98a01c, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=0b2e012b138911b6, timestamp=1517209215536000, }
{traceId=0b2e012b138911b6, spanId=0d1bcd94af98a01c, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=0b2e012b138911b6, timestamp=1517209215545000, }
{traceId=0b2e012b138911b6, spanId=b785e0b6e2ca6d2d, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=0d1bcd94af98a01c, timestamp=1517209215549000, }
{traceId=0b2e012b138911b6, spanId=b785e0b6e2ca6d2d, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=0d1bcd94af98a01c, timestamp=1517209215558000, }
{traceId=0b2e012b138911b6, spanId=ab1c03a979cd6bd4, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=b785e0b6e2ca6d2d, timestamp=1517209215561000, }
{traceId=0b2e012b138911b6, spanId=ab1c03a979cd6bd4, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=b785e0b6e2ca6d2d, timestamp=1517209215570500, }
{traceId=0b2e012b138911b6, spanId=ab1c03a979cd6bd4, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=b785e0b6e2ca6d2d, timestamp=1517209215576500, }
{traceId=0b2e012b138911b6, spanId=ab1c03a979cd6bd4, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=b785e0b6e2ca6d2d, timestamp=1517209215586000, }
{traceId=0b2e012b138911b6, spanId=b785e0b6e2ca6d2d, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=0d1bcd94af98a01c, timestamp=1517209215587000, }
{traceId=0b2e012b138911b6, spanId=b785e0b6e2ca6d2d, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=0d1bcd94af98a01c, timestamp=1517209215596000, }
{traceId=0b2e012b138911b6, spanId=0d1bcd94af98a01c, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=0b2e012b138911b6, timestamp=1517209215599000, }
{traceId=0b2e012b138911b6, spanId=0d1bcd94af98a01c, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=0b2e012b138911b6, timestamp=1517209215608000, }
{traceId=0b2e012b138911b6, spanId=96b84368e9d1cf7a, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=0b2e012b138911b6, timestamp=1517209215610000, }
{traceId=0b2e012b138911b6, spanId=96b84368e9d1cf7a, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=0b2e012b138911b6, timestamp=1517209215612000, }
{traceId=0b2e012b138911b6, spanId=71fbe4228ae1acdf, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=96b84368e9d1cf7a, timestamp=1517209215615000, }
{traceId=0b2e012b138911b6, spanId=71fbe4228ae1acdf, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=96b84368e9d1cf7a, timestamp=1517209215617000, }
{traceId=0b2e012b138911b6, spanId=bcaa9b11a2ddaac1, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=71fbe4228ae1acdf, timestamp=1517209215620000, }
{traceId=0b2e012b138911b6, spanId=bcaa9b11a2ddaac1, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=71fbe4228ae1acdf, timestamp=1517209215622500, }
{traceId=0b2e012b138911b6, spanId=bcaa9b11a2ddaac1, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=71fbe4228ae1acdf, timestamp=1517209215627500, }
{traceId=0b2e012b138911b6, spanId=bcaa9b11a2ddaac1, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=71fbe4228ae1acdf, timestamp=1517209215630000, }
