
=== TestCase3 case3\fail1\basic-1 Fail execution 1 ===
{traceId=4561cf0d5f063021, spanId=4561cf0d5f063021, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517209698853000, }
{traceId=4561cf0d5f063021, spanId=0af99e8feff4f208, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=4561cf0d5f063021, timestamp=1517209698857000, }
{traceId=4561cf0d5f063021, spanId=0af99e8feff4f208, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=4561cf0d5f063021, timestamp=1517209698866000, }
{traceId=4561cf0d5f063021, spanId=2ae84d698b4b51e9, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=0af99e8feff4f208, timestamp=1517209698869000, }
{traceId=4561cf0d5f063021, spanId=2ae84d698b4b51e9, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=0af99e8feff4f208, timestamp=1517209698879000, }
{traceId=4561cf0d5f063021, spanId=5075b23e270ff1a6, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=2ae84d698b4b51e9, timestamp=1517209698881000, }
{traceId=4561cf0d5f063021, spanId=5075b23e270ff1a6, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=2ae84d698b4b51e9, timestamp=1517209698889500, }
{traceId=4561cf0d5f063021, spanId=5075b23e270ff1a6, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=2ae84d698b4b51e9, timestamp=1517209698894500, }
{traceId=4561cf0d5f063021, spanId=5075b23e270ff1a6, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=2ae84d698b4b51e9, timestamp=1517209698903000, }
{traceId=4561cf0d5f063021, spanId=2ae84d698b4b51e9, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=0af99e8feff4f208, timestamp=1517209698905000, }
{traceId=4561cf0d5f063021, spanId=2ae84d698b4b51e9, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=0af99e8feff4f208, timestamp=1517209698915000, }
{traceId=4561cf0d5f063021, spanId=0af99e8feff4f208, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=4561cf0d5f063021, timestamp=1517209698917000, }
{traceId=4561cf0d5f063021, spanId=0af99e8feff4f208, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=4561cf0d5f063021, timestamp=1517209698926000, }
{traceId=4561cf0d5f063021, spanId=a8f33f635550581a, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=4561cf0d5f063021, timestamp=1517209698928000, }
{traceId=4561cf0d5f063021, spanId=a8f33f635550581a, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=4561cf0d5f063021, timestamp=1517209698929500, }
{traceId=4561cf0d5f063021, spanId=c290bfeb22b56840, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=a8f33f635550581a, timestamp=1517209698932500, }
{traceId=4561cf0d5f063021, spanId=c290bfeb22b56840, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=a8f33f635550581a, timestamp=1517209698934500, }
{traceId=4561cf0d5f063021, spanId=d89a5bf81b53c355, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=c290bfeb22b56840, timestamp=1517209698937500, }
{traceId=4561cf0d5f063021, spanId=d89a5bf81b53c355, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=c290bfeb22b56840, timestamp=1517209698939500, }
