
=== TestCase3 case3\fail2\basic-2 Fail execution 2 ===
{traceId=750c23c0af0c1a7c, spanId=750c23c0af0c1a7c, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517209877879000, }
{traceId=750c23c0af0c1a7c, spanId=db18d9a3f776acae, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=750c23c0af0c1a7c, timestamp=1517209877885000, }
{traceId=750c23c0af0c1a7c, spanId=db18d9a3f776acae, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=750c23c0af0c1a7c, timestamp=1517209877895000, }
{traceId=750c23c0af0c1a7c, spanId=db18d9a3f776acae, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=750c23c0af0c1a7c, timestamp=1517209877901000, }
{traceId=750c23c0af0c1a7c, spanId=db18d9a3f776acae, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=750c23c0af0c1a7c, timestamp=1517209877911000, }
{traceId=750c23c0af0c1a7c, spanId=273a944aef8785bf, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=750c23c0af0c1a7c, timestamp=1517209877913000, }
{traceId=750c23c0af0c1a7c, spanId=273a944aef8785bf, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=750c23c0af0c1a7c, timestamp=1517209877923000, }
{traceId=750c23c0af0c1a7c, spanId=a31cd87c2bad5dd0, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=273a944aef8785bf, timestamp=1517209877928000, }
{traceId=750c23c0af0c1a7c, spanId=a31cd87c2bad5dd0, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=273a944aef8785bf, timestamp=1517209877940500, }
{traceId=750c23c0af0c1a7c, spanId=a31cd87c2bad5dd0, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=273a944aef8785bf, timestamp=1517209877954500, }
{traceId=750c23c0af0c1a7c, spanId=a31cd87c2bad5dd0, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=273a944aef8785bf, timestamp=1517209877967000, }
