
=== TestCase4 case4\fail2\basic-2 Fail execution 2 ===
{traceId=73faeb9e8a09ea84, spanId=73faeb9e8a09ea84, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517212231107000, }
{traceId=73faeb9e8a09ea84, spanId=170a96a5b7d5d7a3, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=73faeb9e8a09ea84, timestamp=1517212231112000, }
{traceId=73faeb9e8a09ea84, spanId=170a96a5b7d5d7a3, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=73faeb9e8a09ea84, timestamp=1517212231122500, }
{traceId=73faeb9e8a09ea84, spanId=170a96a5b7d5d7a3, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=73faeb9e8a09ea84, timestamp=1517212231128500, }
{traceId=73faeb9e8a09ea84, spanId=170a96a5b7d5d7a3, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=73faeb9e8a09ea84, timestamp=1517212231139000, }
{traceId=73faeb9e8a09ea84, spanId=f2d440ef6681b1d4, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=73faeb9e8a09ea84, timestamp=1517212231142000, }
{traceId=73faeb9e8a09ea84, spanId=f2d440ef6681b1d4, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=73faeb9e8a09ea84, timestamp=1517212231153000, }
{traceId=73faeb9e8a09ea84, spanId=e024b642f4dd0747, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=f2d440ef6681b1d4, timestamp=1517212231159000, }
{traceId=73faeb9e8a09ea84, spanId=e024b642f4dd0747, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=f2d440ef6681b1d4, timestamp=1517212231173500, }
{traceId=73faeb9e8a09ea84, spanId=e024b642f4dd0747, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=f2d440ef6681b1d4, timestamp=1517212231181500, }
{traceId=73faeb9e8a09ea84, spanId=e024b642f4dd0747, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=f2d440ef6681b1d4, timestamp=1517212231196000, }
{traceId=73faeb9e8a09ea84, spanId=8dfcd4a27d6b1065, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=f2d440ef6681b1d4, timestamp=1517212231199000, }
{traceId=73faeb9e8a09ea84, spanId=8dfcd4a27d6b1065, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=f2d440ef6681b1d4, timestamp=1517212231208500, }
