
=== TestCase7 case7\fail1\basic-1 Fail execution 1 ===
{traceId=f6443fbf86397a0f, spanId=f6443fbf86397a0f, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517213658710000, }
{traceId=f6443fbf86397a0f, spanId=1450cb7df337a97f, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=f6443fbf86397a0f, timestamp=1517213658713000, }
{traceId=f6443fbf86397a0f, spanId=1450cb7df337a97f, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=f6443fbf86397a0f, timestamp=1517213658720000, }
{traceId=f6443fbf86397a0f, spanId=534b24437f283508, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=1450cb7df337a97f, timestamp=1517213658723000, }
{traceId=f6443fbf86397a0f, spanId=534b24437f283508, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=1450cb7df337a97f, timestamp=1517213658734000, }
{traceId=f6443fbf86397a0f, spanId=6da7e1cbc1b693da, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=534b24437f283508, timestamp=1517213658736000, }
{traceId=f6443fbf86397a0f, spanId=6da7e1cbc1b693da, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":1}, event=ts-station-service.StationController.queryForId, type=sr, parentId=534b24437f283508, timestamp=1517213658744000, }
{traceId=f6443fbf86397a0f, spanId=6da7e1cbc1b693da, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=534b24437f283508, timestamp=1517213658749000, }
{traceId=f6443fbf86397a0f, spanId=6da7e1cbc1b693da, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=534b24437f283508, timestamp=1517213658757000, }
{traceId=f6443fbf86397a0f, spanId=534b24437f283508, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=1450cb7df337a97f, timestamp=1517213658759000, }
{traceId=f6443fbf86397a0f, spanId=534b24437f283508, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=1450cb7df337a97f, timestamp=1517213658770000, }
