
=== TestCase7 case7\success\basic-2 Success execution 1 ===
{traceId=7a4fc189e8ae6319, spanId=7a4fc189e8ae6319, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517221203591000, }
{traceId=7a4fc189e8ae6319, spanId=293d7f0b06668458, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=7a4fc189e8ae6319, timestamp=1517221203598000, }
{traceId=7a4fc189e8ae6319, spanId=293d7f0b06668458, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=7a4fc189e8ae6319, timestamp=1517221203600000, }
{traceId=7a4fc189e8ae6319, spanId=293d7f0b06668458, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=7a4fc189e8ae6319, timestamp=1517221203605000, }
{traceId=7a4fc189e8ae6319, spanId=293d7f0b06668458, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=7a4fc189e8ae6319, timestamp=1517221203607000, }
{traceId=7a4fc189e8ae6319, spanId=c8568b8c79d0a512, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=7a4fc189e8ae6319, timestamp=1517221203609000, }
{traceId=7a4fc189e8ae6319, spanId=c8568b8c79d0a512, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=7a4fc189e8ae6319, timestamp=1517221203611000, }
{traceId=7a4fc189e8ae6319, spanId=ae7281599f1c3f0a, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=c8568b8c79d0a512, timestamp=1517221203615000, }
{traceId=7a4fc189e8ae6319, spanId=ae7281599f1c3f0a, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=c8568b8c79d0a512, timestamp=1517221203617000, }
{traceId=7a4fc189e8ae6319, spanId=ae7281599f1c3f0a, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=c8568b8c79d0a512, timestamp=1517221203623000, }
{traceId=7a4fc189e8ae6319, spanId=ae7281599f1c3f0a, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=c8568b8c79d0a512, timestamp=1517221203625000, }
