
=== TestCase1 case1\fail2\basic-2 Fail execution 2 ===
{traceId=3ffdfd743132e712, spanId=3ffdfd743132e712, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516778776300000, }
{traceId=3ffdfd743132e712, spanId=983ac9456dc8ba7d, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3ffdfd743132e712, timestamp=1516778776307000, }
{traceId=3ffdfd743132e712, spanId=983ac9456dc8ba7d, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=3ffdfd743132e712, timestamp=1516778776309500, }
{traceId=3ffdfd743132e712, spanId=983ac9456dc8ba7d, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=3ffdfd743132e712, timestamp=1516778776316500, }
{traceId=3ffdfd743132e712, spanId=983ac9456dc8ba7d, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=3ffdfd743132e712, timestamp=1516778776319000, }
{traceId=3ffdfd743132e712, spanId=7e5c4eb77a02e519, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3ffdfd743132e712, timestamp=1516778776321000, }
{traceId=3ffdfd743132e712, spanId=7e5c4eb77a02e519, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=3ffdfd743132e712, timestamp=1516778776325000, }
{traceId=3ffdfd743132e712, spanId=3642631a7d3b3487, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=7e5c4eb77a02e519, timestamp=1516778776330000, }
{traceId=3ffdfd743132e712, spanId=3642631a7d3b3487, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=7e5c4eb77a02e519, timestamp=1516778776333500, }
{traceId=3ffdfd743132e712, spanId=3642631a7d3b3487, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=7e5c4eb77a02e519, timestamp=1516778776349500, }
{traceId=3ffdfd743132e712, spanId=3642631a7d3b3487, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=7e5c4eb77a02e519, timestamp=1516778776353000, }
