
=== TestCase1 case1\success\basic-2 Success execution 1 ===
{traceId=cebac05e99fefbef, spanId=cebac05e99fefbef, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516778129261000, }
{traceId=cebac05e99fefbef, spanId=9cdb188ffd4d81bd, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=cebac05e99fefbef, timestamp=1516778129270000, }
{traceId=cebac05e99fefbef, spanId=9cdb188ffd4d81bd, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=cebac05e99fefbef, timestamp=1516778129273000, }
{traceId=cebac05e99fefbef, spanId=9cdb188ffd4d81bd, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=cebac05e99fefbef, timestamp=1516778129284000, }
{traceId=cebac05e99fefbef, spanId=9cdb188ffd4d81bd, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=cebac05e99fefbef, timestamp=1516778129287000, }
{traceId=cebac05e99fefbef, spanId=ee4c875375bd9716, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=cebac05e99fefbef, timestamp=1516778129290000, }
{traceId=cebac05e99fefbef, spanId=ee4c875375bd9716, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=cebac05e99fefbef, timestamp=1516778129296000, }
{traceId=cebac05e99fefbef, spanId=94f5c52398d60459, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=ee4c875375bd9716, timestamp=1516778129305000, }
{traceId=cebac05e99fefbef, spanId=94f5c52398d60459, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=ee4c875375bd9716, timestamp=1516778129309000, }
{traceId=cebac05e99fefbef, spanId=94f5c52398d60459, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=ee4c875375bd9716, timestamp=1516778129322000, }
{traceId=cebac05e99fefbef, spanId=94f5c52398d60459, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=ee4c875375bd9716, timestamp=1516778129326000, }
{traceId=cebac05e99fefbef, spanId=38f9a369c5856f4f, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=ee4c875375bd9716, timestamp=1516778129330000, }
{traceId=cebac05e99fefbef, spanId=38f9a369c5856f4f, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=ee4c875375bd9716, timestamp=1516778129333000, }
{traceId=cebac05e99fefbef, spanId=38f9a369c5856f4f, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=ee4c875375bd9716, timestamp=1516778129342000, }
{traceId=cebac05e99fefbef, spanId=38f9a369c5856f4f, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=ee4c875375bd9716, timestamp=1516778129345000, }
{traceId=cebac05e99fefbef, spanId=ee4c875375bd9716, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=cebac05e99fefbef, timestamp=1516778129354000, }
{traceId=cebac05e99fefbef, spanId=ee4c875375bd9716, hostName=ts-preserve-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":5,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=cebac05e99fefbef, timestamp=1516778129360000, }
{traceId=cebac05e99fefbef, spanId=1c4167271c9d09f2, hostName=ts-preserve-other-service, destName=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":6,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-contacts-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=cebac05e99fefbef, timestamp=1516778129363000, }
{traceId=cebac05e99fefbef, spanId=1c4167271c9d09f2, hostName=ts-contacts-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":1,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=sr, parentId=cebac05e99fefbef, timestamp=1516778129368000, }
{traceId=cebac05e99fefbef, spanId=25dcebdb76ac8d64, hostName=ts-contacts-service, destName=ts-sso-service, host=ts-contacts-service, clock={"ts-preserve-other-service":6,"ts-contacts-service":2,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-sso-service, event=ts-contacts-service.FuckContactsController.getContactsByContactsId, type=cs, parentId=1c4167271c9d09f2, timestamp=1516778129373000, }
