
=== TestCase4 case4\fail2\basic-2 Fail execution 2 ===
{traceId=3e8b145648fe57d6, spanId=3e8b145648fe57d6, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516794412884000, }
{traceId=3e8b145648fe57d6, spanId=e8966d6a5fdc9abb, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3e8b145648fe57d6, timestamp=1516794412889000, }
{traceId=3e8b145648fe57d6, spanId=e8966d6a5fdc9abb, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=3e8b145648fe57d6, timestamp=1516794412891000, }
{traceId=3e8b145648fe57d6, spanId=e8966d6a5fdc9abb, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=3e8b145648fe57d6, timestamp=1516794412896000, }
{traceId=3e8b145648fe57d6, spanId=e8966d6a5fdc9abb, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=3e8b145648fe57d6, timestamp=1516794412898000, }
{traceId=3e8b145648fe57d6, spanId=c861426a95c195c1, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3e8b145648fe57d6, timestamp=1516794412899000, }
{traceId=3e8b145648fe57d6, spanId=c861426a95c195c1, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=3e8b145648fe57d6, timestamp=1516794412902000, }
{traceId=3e8b145648fe57d6, spanId=1b17c257d9a3c660, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=c861426a95c195c1, timestamp=1516794412906000, }
{traceId=3e8b145648fe57d6, spanId=1b17c257d9a3c660, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=c861426a95c195c1, timestamp=1516794412913000, }
{traceId=3e8b145648fe57d6, spanId=1b17c257d9a3c660, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=c861426a95c195c1, timestamp=1516794412922000, }
{traceId=3e8b145648fe57d6, spanId=1b17c257d9a3c660, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=c861426a95c195c1, timestamp=1516794412929000, }
{traceId=3e8b145648fe57d6, spanId=b23a7037aa2cc7c7, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=c861426a95c195c1, timestamp=1516794412931000, }
{traceId=3e8b145648fe57d6, spanId=b23a7037aa2cc7c7, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=c861426a95c195c1, timestamp=1516794412933500, }
{traceId=3e8b145648fe57d6, spanId=b23a7037aa2cc7c7, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=c861426a95c195c1, timestamp=1516794412943500, }
{traceId=3e8b145648fe57d6, spanId=b23a7037aa2cc7c7, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=c861426a95c195c1, timestamp=1516794412946000, }
