
=== TestCase4 case4\success\basic-2 Success execution 1 ===
{traceId=1ddceae3d940d446, spanId=1ddceae3d940d446, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516793728243000, }
{traceId=1ddceae3d940d446, spanId=b186db022cbcae85, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1ddceae3d940d446, timestamp=1516793728247000, }
{traceId=1ddceae3d940d446, spanId=b186db022cbcae85, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=1ddceae3d940d446, timestamp=1516793728250500, }
{traceId=1ddceae3d940d446, spanId=b186db022cbcae85, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=1ddceae3d940d446, timestamp=1516793728257500, }
{traceId=1ddceae3d940d446, spanId=b186db022cbcae85, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=1ddceae3d940d446, timestamp=1516793728261000, }
{traceId=1ddceae3d940d446, spanId=2efd6439e75c1f0e, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1ddceae3d940d446, timestamp=1516793728263000, }
{traceId=1ddceae3d940d446, spanId=2efd6439e75c1f0e, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=1ddceae3d940d446, timestamp=1516793728269000, }
{traceId=1ddceae3d940d446, spanId=5912eeed88a861d5, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=2efd6439e75c1f0e, timestamp=1516793728275000, }
{traceId=1ddceae3d940d446, spanId=5912eeed88a861d5, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=2efd6439e75c1f0e, timestamp=1516793728278500, }
{traceId=1ddceae3d940d446, spanId=5912eeed88a861d5, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=2efd6439e75c1f0e, timestamp=1516793728288500, }
{traceId=1ddceae3d940d446, spanId=5912eeed88a861d5, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=2efd6439e75c1f0e, timestamp=1516793728292000, }
