
=== TestCase8 case8\fail2\basic-2 Fail execution 2 ===
{traceId=4a164a1bf1bf8679, spanId=4a164a1bf1bf8679, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516798059392000, }
{traceId=4a164a1bf1bf8679, spanId=1d3bf653fa7a0226, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=4a164a1bf1bf8679, timestamp=1516798059396000, }
{traceId=4a164a1bf1bf8679, spanId=1d3bf653fa7a0226, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=4a164a1bf1bf8679, timestamp=1516798059398000, }
{traceId=4a164a1bf1bf8679, spanId=1d3bf653fa7a0226, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=4a164a1bf1bf8679, timestamp=1516798059403000, }
{traceId=4a164a1bf1bf8679, spanId=1d3bf653fa7a0226, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=4a164a1bf1bf8679, timestamp=1516798059405000, }
{traceId=4a164a1bf1bf8679, spanId=0a1b7ebf64f389bf, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=4a164a1bf1bf8679, timestamp=1516798059406000, }
{traceId=4a164a1bf1bf8679, spanId=0a1b7ebf64f389bf, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=4a164a1bf1bf8679, timestamp=1516798059409000, }
{traceId=4a164a1bf1bf8679, spanId=9e6c065b4d01816b, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=0a1b7ebf64f389bf, timestamp=1516798059413000, }
{traceId=4a164a1bf1bf8679, spanId=9e6c065b4d01816b, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=0a1b7ebf64f389bf, timestamp=1516798059416000, }
{traceId=4a164a1bf1bf8679, spanId=9e6c065b4d01816b, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=0a1b7ebf64f389bf, timestamp=1516798059422000, }
{traceId=4a164a1bf1bf8679, spanId=9e6c065b4d01816b, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=0a1b7ebf64f389bf, timestamp=1516798059425000, }
